original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
8,4,0.19,0.91806,0.21,0.872493,0.57,0.115404,0.59,0.0783824,0.197926789,0.578321628,0.380394839,,
13,11,0.45,0.932515,0.47,0.894118,0.83,0.129306,0.85,0.0960719,0.466936219,0.847636103,0.380699884,,
18,13,0.49,0.940083,0.51,0.898714,0.89,0.100246,0.91,0.070726,0.509378278,0.890166667,0.380788388,,
15,11,0.45,0.915942,0.47,0.878146,0.83,0.113275,0.85,0.0856855,0.458435813,0.839623226,0.381187413,,
12,12,0.47,0.914966,0.49,0.887029,0.85,0.115329,0.87,0.0900498,0.480714107,0.862127757,0.38141365,,
11,8,0.33,0.934066,0.35,0.899866,0.73,0.102145,0.75,0.0720318,0.349921637,0.731424624,0.381502987,,
17,5,0.21,0.913876,0.23,0.891266,0.59,0.123114,0.61,0.0896023,0.222274215,0.603794585,0.38152037,,
5,11,0.43,0.922414,0.45,0.897616,0.81,0.134744,0.83,0.0993204,0.448077264,0.829616301,0.381539037,,
20,5,0.25,0.907631,0.27,0.867903,0.63,0.107393,0.65,0.0800604,0.253841623,0.635409657,0.381568034,,
18,4,0.19,0.909238,0.21,0.888889,0.57,0.117471,0.59,0.0857,0.199079562,0.58099808,0.381918518,,
15,13,0.51,0.923795,0.53,0.89721,0.89,0.142713,0.91,0.0999083,0.527901072,0.909957154,0.382056082,,
3,9,0.37,0.916293,0.39,0.878698,0.75,0.116185,0.77,0.0867422,0.378667642,0.760994199,0.382326557,,
16,4,0.19,0.907438,0.21,0.885089,0.57,0.114995,0.59,0.0816121,0.196656226,0.578983641,0.382327415,,
13,2,0.11,0.929883,0.13,0.893431,0.49,0.139581,0.51,0.0979612,0.126395808,0.509020274,0.382624466,,
3,6,0.25,0.907666,0.27,0.898975,0.65,0.100294,0.67,0.0840538,0.267641238,0.650362065,0.382720826,,
4,13,0.53,0.91896,0.55,0.886263,0.91,0.115128,0.93,0.0945505,0.541597394,0.924703438,0.383106044,,
19,2,0.13,0.904348,0.15,0.878141,0.51,0.112774,0.53,0.073098,0.133318197,0.516439157,0.38312096,,
5,8,0.33,0.905579,0.35,0.882202,0.71,0.110721,0.73,0.0840841,0.334773068,0.718049736,0.383276668,,
4,6,0.27,0.92911,0.29,0.887671,0.65,0.11968,0.67,0.0972152,0.284049567,0.667520744,0.383471177,,
14,11,0.45,0.901569,0.47,0.882861,0.83,0.106083,0.85,0.0847118,0.451677357,0.835692708,0.384015351,,
