original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
15,10,0.61,0.910843,0.63,0.862168,0.87,0.107692,0.89,0.0759434,0.614455265,0.874845568,0.260390303,,
15,11,0.65,0.928682,0.67,0.865798,0.93,0.101093,0.95,0.0761079,0.659122193,0.930874921,0.271752728,,
16,1,0.21,0.901385,0.23,0.878924,0.43,0.142857,0.45,0.0917431,0.211233249,0.446769215,0.235535967,,
16,2,0.25,0.924831,0.27,0.888969,0.47,0.150298,0.49,0.0956607,0.263848084,0.488411598,0.224563514,,
16,3,0.29,0.915358,0.31,0.856061,0.53,0.119097,0.55,0.0857709,0.295180026,0.541460687,0.246280661,,
16,4,0.33,0.917341,0.35,0.866406,0.57,0.121867,0.59,0.0866373,0.33680907,0.582413958,0.245604887,,
16,5,0.39,0.905674,0.41,0.850919,0.63,0.106195,0.65,0.0777228,0.392072505,0.634351613,0.242279108,,
16,6,0.43,0.906585,0.45,0.863278,0.67,0.1224,0.69,0.090233,0.433041079,0.683927317,0.250886238,,
16,7,0.45,0.934888,0.47,0.899676,0.73,0.108309,0.75,0.0778832,0.469815972,0.735461812,0.26564584,,
16,8,0.51,0.913339,0.53,0.895349,0.77,0.11699,0.79,0.0844028,0.52482935,0.780427407,0.255598057,,
16,9,0.57,0.907012,0.59,0.875872,0.81,0.124176,0.83,0.0987212,0.574503532,0.828995239,0.254491706,,
16,10,0.61,0.907705,0.63,0.897692,0.87,0.104167,0.89,0.0771484,0.625389993,0.873084542,0.247694549,,
16,11,0.67,0.917221,0.69,0.866525,0.91,0.114894,0.93,0.0870774,0.67679383,0.920708714,0.243914884,,
17,1,0.21,0.90131,0.23,0.874808,0.45,0.116832,0.47,0.0857423,0.210988605,0.460828023,0.249839419,,
17,2,0.25,0.911519,0.27,0.865193,0.49,0.137393,0.51,0.0946717,0.254973017,0.507505553,0.252532536,,
17,3,0.29,0.905254,0.31,0.890093,0.55,0.112055,0.57,0.0743476,0.296930941,0.55639397,0.259463029,,
17,4,0.35,0.917785,0.37,0.873692,0.59,0.124019,0.61,0.0832095,0.35806704,0.601771279,0.243704239,,
17,5,0.39,0.920418,0.41,0.885547,0.63,0.146112,0.65,0.097561,0.40171059,0.648995283,0.247284693,,
17,6,0.43,0.92637,0.45,0.881922,0.69,0.112154,0.71,0.0806452,0.441865551,0.69771467,0.255849119,,
17,7,0.47,0.924201,0.49,0.885066,0.73,0.119899,0.75,0.0839618,0.482367957,0.741074319,0.258706361,,
17,8,0.53,0.91046,0.55,0.867897,0.77,0.142857,0.79,0.0953347,0.534915067,0.788036585,0.253121518,,
17,9,0.57,0.930591,0.59,0.898785,0.83,0.10796,0.85,0.0782866,0.589235993,0.835365074,0.246129081,,
17,10,0.63,0.904239,0.65,0.84632,0.87,0.118434,0.89,0.0821142,0.631463768,0.880150937,0.248687169,,
17,11,0.67,0.922414,0.69,0.868441,0.91,0.126218,0.93,0.0749534,0.678305634,0.920228501,0.241922866,,
18,1,0.21,0.925654,0.23,0.874618,0.45,0.101518,0.47,0.0602041,0.220053296,0.450734862,0.230681566,,
18,2,0.25,0.909807,0.27,0.871318,0.49,0.134877,0.51,0.0870456,0.255096001,0.504583307,0.249487306,,
18,3,0.29,0.911791,0.31,0.856923,0.53,0.145153,0.55,0.0907227,0.294297951,0.546591127,0.252293175,,
