original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,
16,3,0.15,0.914358,0.17,0.873118,0.49,0.100488,0.51,0.0651303,0.156963143,0.490276036,0.333312893,
4,4,0.19,0.941896,0.21,0.880223,0.53,0.117871,0.55,0.068999,0.203586497,0.53731339,0.333726894,
20,2,0.09,0.927083,0.11,0.891129,0.43,0.131323,0.45,0.0640155,0.105065361,0.439307432,0.334242071,
12,9,0.39,0.936709,0.41,0.893891,0.73,0.12572,0.75,0.0832527,0.407146527,0.742112849,0.334966322,
2,5,0.23,0.915254,0.25,0.89267,0.57,0.126402,0.59,0.068932,0.243508679,0.579188098,0.335679419,
17,3,0.13,0.912,0.15,0.898507,0.47,0.126402,0.49,0.0893971,0.147787001,0.484269462,0.336482461,
7,3,0.17,0.901685,0.19,0.859729,0.49,0.134272,0.51,0.0978887,0.170803222,0.508839413,0.33803619,
8,11,0.53,0.925,0.55,0.87931,0.87,0.130558,0.89,0.0746692,0.540943314,0.880935286,0.339991972,
17,2,0.09,0.91954,0.11,0.889535,0.43,0.132,0.45,0.0834933,0.103024496,0.443194054,0.340169558,
10,5,0.23,0.909091,0.25,0.885321,0.57,0.117476,0.59,0.0792377,0.237649138,0.579140574,0.341491436,
16,4,0.17,0.932271,0.19,0.9,0.53,0.10387,0.55,0.0599401,0.19,0.531761898,0.341761898,
1,10,0.47,0.915205,0.49,0.891414,0.81,0.133595,0.83,0.0895238,0.482782145,0.825245784,0.34246364,
11,8,0.39,0.926518,0.41,0.877984,0.73,0.139512,0.75,0.0824645,0.400927597,0.743852316,0.342924719,
17,1,0.05,0.900943,0.07,0.898649,0.39,0.133603,0.41,0.0772901,0.058221447,0.401934388,0.343712941,
15,10,0.47,0.908815,0.49,0.872289,0.81,0.113108,0.83,0.0843621,0.474826699,0.819119909,0.34429321,
1,6,0.29,0.907407,0.31,0.85422,0.63,0.116564,0.65,0.0728155,0.292785267,0.637572374,0.344787107,
19,5,0.23,0.904494,0.25,0.899281,0.59,0.104492,0.61,0.0627413,0.247241512,0.59215182,0.344910309,
10,1,0.03,0.934694,0.05,0.891026,0.39,0.101578,0.41,0.0625611,0.045889896,0.39080888,0.344918984,
1,1,0.05,0.910345,0.07,0.867069,0.39,0.119266,0.41,0.084466,0.054780941,0.401072414,0.346291473,
1,4,0.19,0.908815,0.21,0.867403,0.53,0.125704,0.55,0.0783366,0.19425722,0.540853034,0.346595814,
12,6,0.25,0.911032,0.27,0.883333,0.59,0.137587,0.61,0.0866602,0.257965631,0.604761187,0.346795556,
11,1,0.05,0.937759,0.07,0.879562,0.41,0.100671,0.43,0.0752896,0.06297627,0.410528734,0.347552463,
12,2,0.09,0.90146,0.11,0.827586,0.43,0.12115,0.45,0.0695825,0.090395268,0.438202841,0.347807573,
6,1,0.05,0.906122,0.07,0.886288,0.39,0.142152,0.41,0.0828343,0.056173238,0.404212284,0.348039046,
4,7,0.33,0.902017,0.35,0.885922,0.67,0.119072,0.69,0.0844354,0.332506368,0.681012628,0.34850626,
3,6,0.25,0.919283,0.27,0.899598,0.61,0.111535,0.63,0.0832487,0.269591567,0.618155892,0.348564325,
9,1,0.03,0.925,0.05,0.899642,0.39,0.122233,0.41,0.0729702,0.049717643,0.399026284,0.34930864,
13,3,0.11,0.948357,0.13,0.888889,0.47,0.105315,0.49,0.0866142,0.1262632,0.475684249,0.349421048,
2,11,0.51,0.917553,0.53,0.899767,0.87,0.117816,0.89,0.0808271,0.529737996,0.87963316,0.349895164,
6,2,0.09,0.90678,0.11,0.888889,0.43,0.135238,0.45,0.096475,0.09757923,0.448181255,0.350602026,
6,5,0.25,0.903226,0.27,0.854545,0.59,0.119886,0.61,0.0870406,0.251325363,0.602108849,0.350783486,
5,10,0.49,0.936118,0.51,0.875264,0.85,0.105607,0.87,0.0687318,0.501870378,0.853041068,0.35117069,
9,8,0.39,0.910405,0.41,0.881235,0.73,0.14174,0.75,0.0972364,0.397134042,0.748758033,0.351623991,
8,5,0.25,0.908333,0.27,0.873391,0.59,0.128205,0.61,0.093985,0.254769618,0.606484512,0.351714894,
11,9,0.43,0.957237,0.45,0.885714,0.79,0.112488,0.81,0.0811339,0.446005201,0.797965784,0.351960583,
4,8,0.37,0.940476,0.39,0.886199,0.73,0.112414,0.75,0.0779727,0.384914605,0.737208787,0.352294182,
10,4,0.17,0.91746,0.19,0.897849,0.53,0.130309,0.55,0.0729927,0.187806333,0.540576049,0.352769716,
4,2,0.09,0.904437,0.11,0.894081,0.45,0.103792,0.47,0.0496957,0.098568946,0.451401944,0.352832999,
19,7,0.33,0.927492,0.35,0.881579,0.69,0.103175,0.71,0.0902978,0.341975693,0.694931196,0.352955503,
18,1,0.05,0.919492,0.07,0.89011,0.41,0.115568,0.43,0.0666032,0.063267987,0.416358854,0.353090867,
1,5,0.23,0.931373,0.25,0.87715,0.59,0.110672,0.61,0.0705314,0.241571842,0.59531731,0.353745467,
6,6,0.27,0.944238,0.29,0.898026,0.63,0.119166,0.65,0.0895522,0.289145676,0.642943965,0.353798289,
3,7,0.29,0.918033,0.31,0.898361,0.65,0.123919,0.67,0.086785,0.308333672,0.662882534,0.354548861,
17,7,0.29,0.930481,0.31,0.897778,0.65,0.138584,0.67,0.0854789,0.308641103,0.664531184,0.355890081,
15,9,0.41,0.926829,0.43,0.893112,0.77,0.121152,0.79,0.0868707,0.425914227,0.782340255,0.356426028,
19,1,0.03,0.955696,0.05,0.892377,0.39,0.126437,0.41,0.0897436,0.047592192,0.404409676,0.356817484,
16,10,0.45,0.928302,0.47,0.868035,0.81,0.105161,0.83,0.0887175,0.459392205,0.816277252,0.356885048,
18,4,0.17,0.934884,0.19,0.894118,0.53,0.136095,0.55,0.085354,0.187114262,0.544227154,0.357112892,
17,10,0.43,0.955882,0.45,0.892193,0.79,0.133887,0.81,0.0882353,0.447548399,0.804845887,0.357297488,
18,6,0.29,0.909605,0.31,0.880096,0.65,0.106786,0.67,0.0748106,0.296509878,0.654244513,0.357734635,
5,1,0.03,0.903614,0.05,0.9,0.39,0.138432,0.41,0.097,0.05,0.408551844,0.358551844,
9,7,0.33,0.902141,0.35,0.899244,0.69,0.117209,0.71,0.0922787,0.344780808,0.70380569,0.359024883,
5,2,0.09,0.907738,0.11,0.867532,0.45,0.108675,0.47,0.0492891,0.093849177,0.452921569,0.359072392,
5,3,0.13,0.914062,0.15,0.884273,0.49,0.121635,0.51,0.072572,0.139441069,0.498819273,0.359378204,
13,2,0.05,0.937143,0.07,0.898785,0.41,0.179884,0.43,0.0973188,0.069366495,0.429350525,0.359984031,
10,3,0.13,0.910653,0.15,0.87027,0.49,0.112745,0.51,0.0659755,0.135275982,0.495450133,0.360174151,
4,6,0.27,0.925466,0.29,0.862155,0.63,0.115094,0.65,0.0798403,0.278044732,0.638563073,0.360518341,
20,6,0.27,0.952218,0.29,0.89759,0.63,0.144052,0.65,0.0993049,0.289117669,0.649689321,0.360571652,
13,9,0.39,0.945338,0.41,0.9,0.77,0.101156,0.79,0.0671273,0.41,0.770679426,0.360679426,
14,9,0.43,0.932203,0.45,0.87931,0.79,0.117417,0.81,0.0911765,0.442176659,0.803274899,0.361098241,
4,5,0.21,0.916667,0.23,0.895028,0.57,0.129843,0.59,0.0954274,0.225404594,0.587342717,0.361938123,
1,2,0.07,0.949791,0.09,0.898876,0.45,0.103946,0.47,0.0529801,0.08955848,0.451548486,0.361990007,
9,11,0.53,0.906667,0.55,0.88046,0.89,0.104683,0.91,0.0933457,0.535087954,0.898261226,0.363173273,
14,6,0.27,0.929329,0.29,0.889571,0.63,0.127376,0.65,0.0970082,0.28475376,0.648029623,0.363275863,
16,7,0.29,0.932143,0.31,0.899696,0.67,0.106614,0.69,0.0660036,0.309812617,0.673257294,0.363444676,
19,11,0.51,0.920732,0.53,0.895954,0.89,0.100569,0.91,0.0613615,0.5267342,0.890290251,0.363556051,
12,5,0.19,0.914439,0.21,0.872807,0.55,0.120179,0.57,0.085044,0.196936491,0.561486552,0.364550061,
1,9,0.41,0.90379,0.43,0.899015,0.79,0.101079,0.81,0.0636277,0.425874346,0.790576215,0.364701869,
2,1,0.01,0.974026,0.03,0.890547,0.39,0.103896,0.41,0.0722543,0.027735239,0.392462573,0.364727334,
5,4,0.17,0.914384,0.19,0.875433,0.53,0.124506,0.55,0.0852156,0.17738569,0.542474294,0.365088604,
12,1,0.01,0.929204,0.03,0.898936,0.39,0.1093,0.41,0.0695397,0.029296947,0.394678033,0.365381086,
11,3,0.13,0.946176,0.15,0.879452,0.49,0.140434,0.51,0.0994975,0.143840897,0.509754498,0.365913601,
