"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"zpg2",10,0.0307,0,10000,1,72,0.008403339,2.81e-05,0.001319846,2.26e-06,35430.41753,16594549.03,3096,0,10000,0,10000,1,0.914082,0,10000,4660.214902,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,73,0.009533977,3.56e-05,0.00130561,1.01e-06,35913.81365,13514275.31,3095,0,10000,0,10000,1,0.904457,0,10000,4835.35881,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,80,0.008231849,2.04e-05,0.001139316,3.96e-07,36087.09663,9429675.67,3088,0,10000,0,10000,1,0.919131,0,10000,4760.620634,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,72,0.008545665,1.65e-05,0.001320403,9e-07,35515.26455,12363771.06,3096,0,10000,0,10000,1,0.893839,0,10000,4694.347826,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,67,0.009662203,2.69e-05,0.001461634,1.85e-06,34874.18211,14033250.9,3101,0,10000,0,10000,1,0.874514,0,10000,4609.090677,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,76,0.008615217,2.05e-05,0.00133568,9.71e-07,35933.53238,13157418.54,3092,0,10000,0,10000,1,0.899648,0,10000,4811.225104,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,69,0.008460797,4.11e-05,0.001219793,1.23e-06,35870.17351,11769834.88,3099,0,10000,0,10000,1,0.923844,0,10000,4768.419169,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,70,0.008457827,1.9e-05,0.001177545,8.52e-07,35697.31286,10317294.13,3098,0,10000,0,10000,1,0.90001,0,10000,4723.038339,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,74,0.008001806,2.24e-05,0.001187663,1.11e-06,36201.78673,12867656.25,3094,0,10000,0,10000,1,0.890152,0,10000,4797.68064,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,71,0.008904103,2.93e-05,0.001211187,1.08e-06,36270.93663,15366207.08,3097,0,10000,0,10000,1,0.900698,0,10000,4909.665388,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,66,0.008728359,2.59e-05,0.001300534,9.48e-07,35828.41446,12348398.19,3102,0,10000,0,10000,1,0.861372,0,10000,4801.739783,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,73,0.008238144,1.58e-05,0.001225012,6.96e-07,35882.0812,13469012.4,3095,0,10000,0,10000,1,0.905065,0,10000,4765.258797,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,74,0.008610575,2.01e-05,0.001274456,1.08e-06,35761.78252,14070800.54,3094,0,10000,0,10000,1,0.89352,0,10000,4752.456494,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,65,0.008519332,3.26e-05,0.001265795,1.41e-06,36163.91739,14054704.83,3103,0,10000,0,10000,1,0.886098,0,10000,4899.271451,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,71,0.007763232,1.51e-05,0.001072643,7.26e-07,36288.09085,11579402.47,3097,0,10000,0,10000,1,0.899416,0,10000,4807.936381,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,65,0.00861613,1.73e-05,0.001239088,9.29e-07,35590.49855,11539075.02,3103,0,10000,0,10000,1,0.873733,0,10000,4750.11866,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,74,0.008875862,3.8e-05,0.001298612,2.25e-06,35799.98479,13943007.06,3094,0,10000,0,10000,1,0.898664,0,10000,4750.926424,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,70,0.008920682,1.58e-05,0.001336672,6.58e-07,35628.08112,11444905.74,3098,0,10000,0,10000,1,0.908856,0,10000,4760.26901,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,71,0.009570523,3.71e-05,0.00134468,7.63e-07,35696.94277,11911154.03,3097,0,10000,0,10000,1,0.895563,0,10000,4778.961649,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,67,0.008640778,3.06e-05,0.001358203,3.13e-06,35774.49952,15684410.61,3101,0,10000,0,10000,1,0.91237,0,10000,4800.104054,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,77,0.008365894,3.76e-05,0.001255674,2.57e-06,35969.1069,16925020.2,3091,0,10000,0,10000,1,0.923857,0,10000,4777.180538,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,69,0.00946909,0.000263992,0.00158632,2.06e-05,35752.50242,19431560.52,3099,0,10000,0,10000,1,0.892162,0,10000,4817.039911,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,73,0.008650221,2.16e-05,0.001328027,1.17e-06,35647.46393,15452647.44,3095,0,10000,0,10000,1,0.881154,0,10000,4751.720179,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,72,0.008841886,2.67e-05,0.001337605,1.42e-06,35557.65621,14631553.43,3096,0,10000,0,10000,1,0.895996,0,10000,4722.585038,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,74,0.008671841,3.31e-05,0.00130108,1.84e-06,35893.2657,13561277.8,3094,0,10000,0,10000,1,0.889483,0,10000,4780.05664,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,74,0.008373116,3.05e-05,0.001248436,1.38e-06,36061.20032,13913347.97,3094,0,10000,0,10000,1,0.896593,0,10000,4817.520473,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,70,0.00923708,3.71e-05,0.001338675,1.82e-06,35723.53911,15449040.35,3098,0,10000,0,10000,1,0.907857,0,10000,4795.898403,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,69,0.008918499,2.6e-05,0.001258084,6.43e-07,35938.47625,11806601.51,3099,0,10000,0,10000,1,0.906155,0,10000,4826.836793,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,68,0.008068541,1.47e-05,0.001183614,7.84e-07,35819.55975,13764059.07,3100,0,10000,0,10000,1,0.900643,0,10000,4762.150654,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,75,0.008300814,1.97e-05,0.001160506,7.82e-07,35917.41955,11363815.92,3093,0,10000,0,10000,1,0.897602,0,10000,4749.316699,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,70,0.008309775,1.58e-05,0.001163307,4.31e-07,36124.76923,11258703.81,3098,0,10000,0,10000,1,0.911256,0,10000,4853.862388,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,78,0.009322345,4.2e-05,0.001511548,3.45e-06,35169.17628,20616229.43,3090,0,10000,0,10000,1,0.891293,0,10000,4655.753201,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,74,0.008550748,2.52e-05,0.001132221,4.15e-07,36006.39159,11014831.34,3094,0,10000,0,10000,1,0.89639,0,10000,4780.672849,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,74,0.008985678,3.11e-05,0.001349483,1.51e-06,35661.86828,13423277.22,3094,0,10000,0,10000,1,0.918801,0,10000,4758.163683,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,73,0.008927915,4.28e-05,0.001421644,4.52e-06,35495.70527,16286755.79,3095,0,10000,0,10000,1,0.893164,0,10000,4709.224744,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,68,0.008054109,2e-05,0.001155974,6.03e-07,36097.14761,12511264.36,3100,0,10000,0,10000,1,0.884589,0,10000,4827.355797,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,70,0.007820054,1.74e-05,0.001152081,1.15e-06,36280.78668,12616877.75,3098,0,10000,0,10000,1,0.890845,0,10000,4843.698179,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,80,0.008813059,3.64e-05,0.001334213,2.06e-06,35589.21952,13703014.02,3088,0,10000,0,10000,1,0.901692,0,10000,4674.502244,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,71,0.008192783,1.8e-05,0.001182789,1.05e-06,35926.55286,12519346.03,3097,0,10000,0,10000,1,0.899224,0,10000,4784.645481,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,77,0.008472322,1.93e-05,0.001218101,6.19e-07,35730.08325,14424932.17,3091,0,10000,0,10000,1,0.918861,0,10000,4736.11616,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,70,0.008751479,8.53e-05,0.001440725,1.26e-05,35784.06593,18794526.46,3098,0,10000,0,10000,1,0.886613,0,10000,4778.280601,1,0,0,"Long term chasing"
