"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"zpg",10,0.0307,0,10000,1,63,0.000550963,5.09e-07,1.61e-05,6.95e-09,56213.16737,3081805.933,3105,0,10000,0,10000,1,0.665886,0,10000,11128.32116,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000511239,2.63e-07,1.15e-05,2.15e-09,56199.37224,2292647.086,3088,0,10000,0,10000,1,0.650978,0,10000,11045.95948,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,84,0.000493136,1.78e-07,1.05e-05,1.78e-09,56273.23539,1665232.549,3084,0,10000,0,10000,1,0.662331,0,10000,11065.09108,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,74,0.000508583,2.87e-07,1.09e-05,1.64e-09,56292.79126,1555820.054,3094,0,10000,0,10000,1,0.662721,0,10000,11111.78617,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000496702,2.13e-07,9.49e-06,8.36e-10,56251.67607,1424583.743,3088,0,10000,0,10000,1,0.68007,0,10000,11011.12556,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,78,0.000543904,5.34e-07,1.33e-05,3.38e-09,56164.91737,2699040.507,3090,0,10000,0,10000,1,0.675782,0,10000,11000.09607,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000502499,2.3e-07,9.44e-06,7.52e-10,56243.28567,1515016.078,3088,0,10000,0,10000,1,0.643101,0,10000,11023.26628,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000522839,2.66e-07,1.59e-05,6.55e-09,56216.16051,2257968.694,3088,0,10000,0,10000,1,0.680027,0,10000,11034.35751,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,84,0.000520603,4.17e-07,1.37e-05,4.37e-09,56162.79286,2179232.423,3084,0,10000,0,10000,1,0.67265,0,10000,10947.46596,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,77,0.000505355,1.93e-07,9.83e-06,7.94e-10,56247.33366,1632762.98,3091,0,10000,0,10000,1,0.649196,0,10000,11063.82648,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,73,0.000554259,4.84e-07,1.49e-05,4.46e-09,56162.39178,2042587.134,3095,0,10000,0,10000,1,0.676714,0,10000,10999.22403,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,85,0.000500649,3.55e-07,1.29e-05,3.47e-09,56251.28841,2339530.123,3083,0,10000,0,10000,1,0.625676,0,10000,11052.80313,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,83,0.000506938,2.63e-07,1.16e-05,1.77e-09,56284.71568,1928620.052,3085,0,10000,0,10000,1,0.64491,0,10000,11084.79386,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,79,0.000529589,4.08e-07,1.52e-05,5.43e-09,56170.21588,2862098.862,3089,0,10000,0,10000,1,0.661857,0,10000,11003.83083,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,76,0.000506009,2.09e-07,1.14e-05,1.96e-09,56257.83193,1983171.096,3092,0,10000,0,10000,1,0.701889,0,10000,11075.24306,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,78,0.000504502,2.01e-07,1.02e-05,9.39e-10,56281.06189,1404996.603,3090,0,10000,0,10000,1,0.666554,0,10000,11089.23141,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,65,0.000519047,2.34e-07,1.16e-05,1.75e-09,56233.52146,2067049.488,3103,0,10000,0,10000,1,0.644968,0,10000,11099.27949,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000502591,3.41e-07,1.01e-05,1.9e-09,56355.44228,1609320.136,3088,0,10000,0,10000,1,0.649536,0,10000,11161.44604,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,82,0.000509707,2.74e-07,1.1e-05,1.58e-09,56246.61713,1834014.495,3086,0,10000,0,10000,1,0.651782,0,10000,11062.68902,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,82,0.000528433,4.5e-07,1.42e-05,4.75e-09,56184.43413,2723534.472,3086,0,10000,0,10000,1,0.654905,0,10000,11026.60262,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,75,0.000528893,2.97e-07,1.11e-05,1.46e-09,56209.43833,1704529.16,3093,0,10000,0,10000,1,0.642633,0,10000,11032.3122,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,84,0.000510374,3.15e-07,1.16e-05,1.93e-09,56202.19156,2088832.794,3084,0,10000,0,10000,1,0.667017,0,10000,11019.97636,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,82,0.000501846,1.88e-07,1.11e-05,1.5e-09,56208.08306,1622809.854,3086,0,10000,0,10000,1,0.646183,0,10000,11037.04215,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,76,0.000525049,3.5e-07,1.24e-05,2.6e-09,56205.091,1574663.594,3092,0,10000,0,10000,1,0.649784,0,10000,11011.85746,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,71,0.000518786,3.89e-07,1.26e-05,3.28e-09,56287.7698,1597898.603,3097,0,10000,0,10000,1,0.646804,0,10000,11123.02739,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,70,0.000541984,3.24e-07,1.5e-05,5.97e-09,56190.50743,2182230.94,3098,0,10000,0,10000,1,0.653804,0,10000,11062.59134,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,83,0.000502988,2.32e-07,1.01e-05,1.31e-09,56260.59623,1118121.645,3085,0,10000,0,10000,1,0.685281,0,10000,11020.00575,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,77,0.000501963,1.33e-07,1.04e-05,1.23e-09,56227.18594,1618819.579,3091,0,10000,0,10000,1,0.642114,0,10000,11026.01404,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.00055296,4.84e-07,1.44e-05,4.07e-09,56259.14851,2616672.499,3088,0,10000,0,10000,1,0.639061,0,10000,11106.47173,1,0,0,"Long term chasing"
