Generation,Wild_Type_Gene_Frequency,Num_Wild_Gene
26,0.366173,100453
27,0.317045,92496
28,0.27041,83303
29,0.227981,73903
30,0.191041,64941
31,0.158236,55992
32,0.130355,47675
33,0.10709,40677
34,0.0853507,33399
35,0.0705044,28297
36,0.0561446,22877
37,0.0466241,19239
38,0.0365117,15267
39,0.0313251,13234
40,0.0247433,10438
41,0.0208103,8896
42,0.0162202,6973
43,0.0125628,5427
44,0.011002,4757
45,0.00853979,3690
46,0.00757795,3296
47,0.00472371,2065
48,0.00376969,1652
49,0.00262833,1153
50,0.00140987,617
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.996803,150275
2,0.995594,148228
3,0.995271,149625
4,0.993874,148618
5,0.992023,149357
6,0.989513,149087
7,0.98659,148832
8,0.982694,148147
9,0.978527,148151
10,0.972199,148170
11,0.964917,149595
12,0.954365,149425
13,0.942065,147451
14,0.929178,147508
15,0.911511,147694
16,0.889356,145616
17,0.864569,145462
18,0.834194,144223
19,0.798397,142842
20,0.755975,140055
21,0.708942,136494
22,0.657891,133075
23,0.603975,128721
24,0.549338,124058
25,0.490308,117218
26,0.432322,109920
27,0.378503,102921
28,0.324754,93597
29,0.279756,85594
30,0.236187,75583
31,0.197864,66562
32,0.165429,57972
33,0.138211,50392
34,0.115224,43414
35,0.0945759,36346
36,0.0790796,31212
37,0.0650617,26115
38,0.0532974,21761
39,0.0430837,17807
40,0.0351638,14782
41,0.0278988,11770
42,0.0225607,9625
43,0.0171646,7351
44,0.0140753,6088
45,0.00997769,4315
46,0.00901161,3927
47,0.00620931,2705
48,0.00661549,2892
49,0.00466439,2040
50,0.0039929,1749
51,0.0044264,1932
52,0.00264372,1153
53,0.00131738,579
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.996726,150106
2,0.995384,150306
3,0.994721,149602
4,0.993207,150588
5,0.991538,150338
6,0.989505,150098
7,0.987046,149796
8,0.983125,149260
9,0.978346,148507
10,0.973425,148862
11,0.966241,148920
12,0.957377,148315
13,0.945765,147737
14,0.930744,147791
15,0.913628,147772
16,0.892318,147858
17,0.869193,145682
18,0.838503,144313
19,0.804527,142785
20,0.7621,141314
21,0.719411,138901
22,0.66701,134546
23,0.614388,131508
24,0.558698,124978
25,0.5004,118971
26,0.438523,110741
27,0.385496,104185
28,0.332195,95001
29,0.284064,86114
30,0.238868,76493
31,0.202876,67926
32,0.168935,59137
33,0.141676,51531
34,0.117366,43895
35,0.0948371,36422
36,0.0791139,31206
37,0.0650557,26150
38,0.0518554,21273
39,0.041564,17327
40,0.0336185,14113
41,0.0271908,11477
42,0.0242482,10298
43,0.0184586,7895
44,0.0162861,7022
45,0.0130669,5633
46,0.0100275,4340
47,0.00833892,3642
48,0.00617728,2694
49,0.0059031,2586
50,0.00442715,1930
51,0.00268812,1179
52,0.00137148,605
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.996748,150817
2,0.995062,150517
3,0.994456,150309
4,0.992574,149295
5,0.990383,149949
6,0.987283,150066
7,0.984541,149473
8,0.980018,150081
9,0.974686,149512
10,0.96797,148776
11,0.959566,149771
12,0.949594,148110
13,0.93564,146845
14,0.920724,148219
15,0.901077,147017
16,0.877583,145383
17,0.849122,145182
18,0.813767,142270
19,0.774491,140835
20,0.727875,138599
21,0.676464,135606
22,0.622136,130220
23,0.566362,125333
24,0.504758,119038
