Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
16,0.5,10,0.481113,11,0.548387,10.28074739,30,0.492958,31,0.584677,30.07677798,20,19.79603059
17,0.5,10,0.477011,11,0.535417,10.39360682,28,0.427617,29,0.501931,28.97401566,18,18.58040884
18,0.5,12,0.484556,13,0.533049,12.31847896,29,0.478788,30,0.532091,29.39795133,17,17.07947238
19,0.5,8,0.438596,9,0.509766,8.862779261,28,0.454721,29,0.520256,28.69091325,20,19.82813399
0,0.5,10,0.484053,11,0.513011,10.55069411,28,0.452632,29,0.528155,28.62719966,18,18.07650555
1,0.5,9,0.443787,10,0.514451,9.795497,28,0.42549,29,0.513258,28.84894267,19,19.05344567
2,0.5,10,0.4846,11,0.554371,10.22072208,31,0.496154,32,0.566879,31.05437964,21,20.83365756
3,0.5,10,0.485537,11,0.505198,10.73561874,30,0.468172,31,0.525641,30.55382902,20,19.81821028
4,0.5,10,0.439516,11,0.519157,10.75945807,29,0.490526,30,0.504525,29.67676263,19,18.91730456
5,0.5,11,0.45738,12,0.530651,11.58167624,27,0.483264,28,0.583969,27.16618837,16,15.58451213
6,0.5,10,0.435345,11,0.570888,10.4770073,28,0.42827,29,0.522388,28.76212839,18,18.2851211
7,0.5,9,0.463362,10,0.523166,9.612634606,27,0.426199,28,0.513514,27.84522705,18,18.23259245
8,0.5,10,0.494505,11,0.59309,10.0557387,26,0.491833,27,0.564815,26.11190431,16,16.0561656
9,0.5,9,0.414013,10,0.541485,9.674555981,29,0.473233,30,0.580882,29.24865071,20,19.57409473
10,0.5,10,0.484252,11,0.515789,10.49934997,25,0.411992,26,0.508734,25.90971863,15,15.41036866
11,0.5,10,0.489627,11,0.535783,10.22473785,33,0.407407,34,0.525794,33.78212135,23,23.5573835
12,0.5,10,0.430584,11,0.514451,10.82769146,29,0.435662,30,0.50591,29.91586949,19,19.08817803
13,0.5,10,0.48497,11,0.52439,10.38127854,28,0.45648,29,0.541494,28.51191568,18,18.13063715
14,0.5,10,0.417355,11,0.501873,10.97783904,31,0.479167,32,0.585366,31.19616946,21,20.21833042
15,0.5,10,0.472036,11,0.553097,10.34497477,30,0.442424,31,0.506796,30.89442615,20,20.54945138
16,0.5,9,0.405512,10,0.525562,9.787072053,30,0.473161,31,0.602174,30.2080333,21,20.42096125
17,0.5,8,0.397895,9,0.517766,8.851790675,26,0.495575,27,0.564854,26.06387217,18,17.21208149
18,0.5,10,0.434622,11,0.519068,10.7741989,28,0.485393,29,0.576108,28.16102078,18,17.38682188
19,0.5,10,0.481799,11,0.537109,10.3290725,28,0.434156,29,0.501931,28.97150867,18,18.64243617
0,0.5,8,0.43326,9,0.534043,8.662214858,24,0.497768,25,0.584942,24.02560396,16,15.36338911
1,0.5,11,0.484076,12,0.527881,11.36352015,29,0.455301,30,0.560729,29.42397655,18,18.06045641
2,0.5,12,0.474438,13,0.524336,12.51228506,30,0.433852,31,0.554393,30.54875934,18,18.03647428
3,0.5,8,0.432071,9,0.539749,8.630853099,27,0.413174,28,0.521277,27.80317845,19,19.17232535
4,0.5,9,0.452116,10,0.518519,9.721111998,27,0.484407,28,0.571116,27.17983139,18,17.45871939
5,0.5,12,0.459954,13,0.507865,12.83584146,30,0.49884,31,0.57764,30.01472081,18,17.17887936
6,0.5,9,0.455102,10,0.50533,9.893883889,29,0.472169,30,0.524313,29.53373351,20,19.63984962
7,0.5,9,0.494048,10,0.570896,9.077451593,28,0.484848,29,0.592105,28.14126817,19,19.06381658
8,0.5,9,0.410753,10,0.503861,9.958532027,29,0.429735,30,0.52974,29.70261487,20,19.74408284
9,0.5,9,0.477551,10,0.545639,9.329705675,26,0.434004,27,0.531621,26.67607077,17,17.34636509
10,0.5,10,0.470707,11,0.569959,10.29513763,23,0.457467,24,0.510345,23.80436098,13,13.50922335
11,0.5,9,0.430642,10,0.508993,9.885221631,30,0.456522,31,0.578603,30.3561406,21,20.47091896
12,0.5,10,0.436735,11,0.513026,10.82925902,26,0.431624,27,0.521336,26.76217228,16,15.93291326
13,0.5,11,0.475,12,0.519774,11.55835976,33,0.497041,34,0.545455,33.06111868,22,21.50275892
14,0.5,11,0.471888,12,0.581213,11.25714155,29,0.493534,30,0.548515,29.11760426,18,17.86046271
15,0.5,11,0.405904,12,0.514911,11.86321062,29,0.496894,30,0.593878,29.0320259,18,17.16881528
16,0.5,12,0.497207,13,0.564453,12.04153407,28,0.478992,29,0.525328,28.45338398,16,16.41184991
17,0.5,11,0.448141,12,0.54185,11.55340469,29,0.483559,30,0.575,29.179799,18,17.62639431
18,0.5,9,0.414079,10,0.525499,9.771145216,25,0.462415,26,0.520243,25.64994466,16,15.87879945
19,0.5,8,0.417943,9,0.503676,8.957122695,25,0.4,26,0.508163,25.92453057,17,16.96740787
0,0.5,11,0.462527,12,0.522293,11.62699528,27,0.468451,28,0.546237,27.40558712,16,15.77859184
1,0.5,10,0.497217,11,0.559184,10.044911,27,0.443983,28,0.556468,27.49799529,17,17.45308429
2,0.5,11,0.488069,12,0.552326,11.18567627,28,0.468927,29,0.548387,28.3910521,17,17.20537583
3,0.5,13,0.484536,14,0.524211,13.38976686,27,0.473786,28,0.524096,27.52104949,14,14.13128264
4,0.5,9,0.399202,10,0.506,9.943819173,28,0.490566,29,0.592593,28.09246572,19,18.14864655
5,0.5,11,0.455408,12,0.545825,11.49318159,29,0.446154,30,0.513575,29.79865324,18,18.30547165
6,0.5,9,0.427273,10,0.540856,9.640298284,28,0.481799,29,0.531646,28.36513732,19,18.72483904
7,0.5,11,0.464286,12,0.563474,11.36006372,29,0.42827,30,0.511583,29.86097008,18,18.50090636
8,0.5,9,0.447205,10,0.538922,9.575629382,30,0.498978,31,0.575693,30.01332204,21,20.43769265
9,0.5,9,0.485437,10,0.595483,9.132335569,28,0.393548,29,0.511364,28.90354451,19,19.77120894
10,0.5,11,0.496124,12,0.526077,11.12940273,27,0.425358,28,0.50501,27.93710139,16,16.80769866
