Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
86,0.85,6,0.47561,7,0.59604,6.202524288,17,0.394737,18,0.616935,17.47373514,11,11.27121085
87,0.85,6,0.44486,7,0.575492,6.422101782,18,0.454545,19,0.579798,18.36290548,12,11.9408037
88,0.85,6,0.473684,7,0.576687,6.255487704,17,0.468872,18,0.593952,17.24886473,11,10.99337702
89,0.85,5,0.414258,6,0.530864,5.735313792,19,0.490323,20,0.640969,19.06423669,14,13.3289229
90,0.85,6,0.489194,7,0.625,6.079569386,15,0.399202,16,0.549098,15.6724529,9,9.592883515
91,0.85,5,0.417204,6,0.502825,5.967005758,15,0.363458,16,0.508658,15.9403719,10,9.973366143
92,0.85,5,0.45509,6,0.581781,5.354484533,16,0.384091,17,0.533962,16.77339178,11,11.41890725
93,0.85,6,0.440994,7,0.589454,6.39745386,18,0.451429,19,0.525114,18.65917079,12,12.26171693
94,0.85,5,0.429389,6,0.586521,5.449373775,16,0.421811,17,0.555799,16.58355226,11,11.13417848
95,0.85,6,0.488421,7,0.584475,6.120546776,18,0.405354,19,0.517621,18.84304382,12,12.72249704
96,0.85,6,0.489011,7,0.602,6.097257255,17,0.43222,18,0.559913,17.53080435,11,11.4335471
97,0.85,5,0.340304,6,0.522822,5.874960278,17,0.48155,18,0.613725,17.13958767,12,11.26462739
98,0.85,5,0.324895,6,0.52017,5.896709768,17,0.44898,18,0.586207,17.37179272,12,11.47508295
99,0.85,6,0.432018,7,0.560417,6.529458952,17,0.42246,18,0.563715,17.54893632,11,11.01947737
100,0.85,5,0.384314,6,0.558767,5.66313563,16,0.492632,17,0.634483,16.05194183,11,10.3888062
101,0.85,6,0.45738,7,0.61215,6.275376365,17,0.459813,18,0.566524,17.3765966,11,11.10122024
102,0.85,6,0.485714,7,0.537778,6.274393055,17,0.36553,18,0.520388,17.8683439,11,11.59395085
103,0.85,5,0.32377,6,0.513026,5.931172592,17,0.33853,18,0.513619,17.9222167,12,11.99104411
104,0.85,7,0.4775,8,0.635071,7.142792773,18,0.471326,19,0.580952,18.26156204,11,11.11876927
105,0.85,6,0.462626,7,0.610887,6.252082476,18,0.472062,19,0.623722,18.18421469,12,11.93213221
106,0.85,6,0.495968,7,0.613734,6.034237386,19,0.483607,20,0.597254,19.1442449,13,13.11000751
107,0.85,6,0.391129,7,0.505198,6.95443109,18,0.454183,19,0.597285,18.32017023,12,11.36573914
108,0.85,5,0.301852,6,0.5,6,19,0.487069,20,0.654428,19.07726504,14,13.07726504
109,0.85,5,0.377193,6,0.503106,5.975332174,18,0.471092,19,0.610169,18.20785608,13,12.23252391
110,0.85,5,0.440476,6,0.624176,5.324028307,17,0.467611,18,0.561576,17.34469217,12,12.02066387
111,0.85,6,0.448276,7,0.589532,6.366172056,15,0.383104,16,0.523529,15.83244437,9,9.466272309
112,0.85,5,0.367459,6,0.523614,5.848778457,17,0.460674,18,0.563441,17.38267148,12,11.53389302
113,0.85,5,0.489796,6,0.578641,5.114851708,17,0.485477,18,0.628931,17.10123803,12,11.98638632
114,0.85,6,0.382932,7,0.607595,6.521082688,17,0.496241,18,0.668724,17.02179345,11,10.50071076
115,0.85,6,0.428266,7,0.586364,6.45373123,17,0.474576,18,0.608445,17.18991701,11,10.73618578
116,0.85,6,0.462659,7,0.540305,6.480913376,18,0.487288,19,0.625571,18.09192742,12,11.61101405
117,0.85,6,0.489603,7,0.576497,6.119651529,18,0.494781,19,0.579439,18.06164804,12,11.94199651
