Number,DriveEfficiency,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
5,0.5,30,0.493092,31,0.512013,30.36509698,60,0.42783,61,0.50294,60.96085741,30,30.59576043
5,0.5,32,0.474416,33,0.525358,32.50221821,62,0.498895,63,0.501305,62.45850622,30,29.95628802
5,0.5,31,0.486428,32,0.509836,31.57980178,61,0.483117,62,0.502594,61.86681727,30,30.28701549
5,0.5,33,0.476031,34,0.517127,33.58324411,62,0.476241,63,0.50192,62.92523073,29,29.34198662
5,0.5,32,0.48406,33,0.512741,32.55576863,65,0.481343,66,0.520526,65.47615037,33,32.92038174
5,0.5,28,0.493136,29,0.512864,28.34793187,63,0.451934,64,0.502551,63.94960191,35,35.60167004
5,0.5,35,0.481283,36,0.516729,35.52804266,65,0.478858,66,0.501005,65.95462139,30,30.42657874
5,0.5,34,0.490121,35,0.500787,34.92621414,63,0.487617,64,0.527808,63.3081038,29,28.38188967
5,0.5,31,0.487617,32,0.543224,31.22268779,57,0.479741,58,0.508639,57.70105198,26,26.47836418
5,0.5,35,0.473485,36,0.507389,35.78206111,61,0.450144,62,0.504725,61.91343141,26,26.1313703
5,0.5,33,0.482115,34,0.506308,33.73926342,64,0.498446,65,0.509072,64.14624506,31,30.40698164
5,0.5,37,0.494505,38,0.504211,37.56614465,67,0.484083,68,0.517764,67.47258098,30,29.90643633
5,0.5,27,0.489468,28,0.50237,27.81630755,63,0.480608,64,0.524731,63.43949867,36,35.62319112
5,0.5,31,0.479843,32,0.507585,31.72658785,64,0.4816,65,0.504353,64.80868457,33,33.08209672
5,0.5,32,0.491979,33,0.531183,32.20459647,61,0.477247,62,0.505187,61.81435218,29,29.60975571
5,0.5,34,0.483379,35,0.513826,34.54589943,59,0.48714,60,0.51773,59.42039882,25,24.87449939
5,0.5,35,0.484307,36,0.509033,35.63467605,68,0.485997,69,0.539855,68.25999851,33,32.62532247
6,0.5,33,0.496976,34,0.507954,33.27546001,62,0.493533,63,0.525992,62.19923596,29,28.92377595
6,0.5,30,0.482548,31,0.522594,30.43579883,59,0.492272,60,0.507341,59.51284093,29,29.0770421
6,0.5,36,0.492424,37,0.531401,36.19437104,63,0.484705,64,0.535695,63.29996078,27,27.10558974
6,0.5,34,0.474785,35,0.504012,34.86272967,59,0.475111,60,0.515054,59.62311294,25,24.76038327
6,0.5,33,0.474004,34,0.501879,33.93259193,59,0.468992,60,0.510727,59.74297352,26,25.8103816
6,0.5,30,0.471478,31,0.513767,30.67445435,58,0.47619,59,0.52648,58.47345397,28,27.79899962
6,0.5,33,0.485189,34,0.515198,33.49355193,63,0.481896,64,0.510085,63.64223633,30,30.1486844
6,0.5,31,0.462043,32,0.503113,31.92420258,62,0.490765,63,0.509011,62.50613833,31,30.58193575
6,0.5,32,0.486371,33,0.512864,32.51443778,66,0.49037,67,0.529607,66.24543161,34,33.73099383
6,0.5,32,0.485852,33,0.517505,32.44697185,65,0.491846,66,0.535276,65.1877504,33,32.74077855
6,0.5,29,0.488157,30,0.504678,29.71684523,63,0.475851,64,0.500782,63.96863343,34,34.2517882
6,0.5,29,0.475295,30,0.512454,29.66484566,61,0.484981,62,0.513543,61.52583853,32,31.86099286
6,0.5,34,0.475162,35,0.535009,34.41502498,61,0.497247,62,0.516347,61.14413613,27,26.72911115
6,0.5,32,0.473382,33,0.505149,32.83791356,65,0.483158,66,0.506494,65.72171752,33,32.88380396
6,0.5,32,0.499467,33,0.5232,32.02245818,61,0.487151,62,0.528102,61.31376523,29,29.29130705
6,0.5,30,0.464712,31,0.503349,30.91332143,64,0.488636,65,0.512029,64.48578635,34,33.57246492
6,0.5,30,0.497493,31,0.533155,30.07029892,60,0.477551,61,0.513904,60.61752813,30,30.54722921
6,0.5,36,0.482305,37,0.524659,36.41778817,65,0.487152,66,0.511691,65.52357472,29,29.10578655
6,0.5,31,0.496852,32,0.51914,31.14124192,58,0.49146,59,0.527153,58.2392626,27,27.09802068
6,0.5,35,0.497545,36,0.519325,35.11271809,63,0.472951,64,0.506508,63.80606133,28,28.69334324
7,0.5,33,0.488582,34,0.522067,33.3409885,61,0.469231,62,0.504235,61.87901383,28,28.53802532
