Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
87,0.5,33,0.488577,34,0.527055,33.29687094,75,0.495685,76,0.50443,75.49342481,42,42.19655387
88,0.5,38,0.461957,39,0.504255,38.89940423,81,0.499456,82,0.532129,81.01664983,43,42.11724561
89,0.5,36,0.470264,37,0.501529,36.95109547,79,0.493802,80,0.503528,79.63726095,43,42.68616548
90,0.5,30,0.497872,31,0.562356,30.03300043,73,0.491961,74,0.524324,73.24840095,43,43.21540052
91,0.5,34,0.479723,35,0.511878,34.63060177,74,0.494168,75,0.520408,74.2222561,40,39.59165432
92,0.5,37,0.49591,38,0.53545,37.10343955,77,0.484048,78,0.522624,77.41352136,40,40.31008181
93,0.5,39,0.479614,40,0.517222,39.54206552,78,0.485699,79,0.533168,78.3012703,39,38.75920478
94,0.5,34,0.492441,35,0.52452,34.23563702,77,0.4975,78,0.520513,77.10863425,43,42.87299723
95,0.5,47,0.477604,48,0.522824,47.49526758,84,0.481207,85,0.520856,84.47398421,37,36.97871663
96,0.5,35,0.484093,36,0.529819,35.34787648,77,0.487952,78,0.507027,77.63161206,42,42.28373558
97,0.5,34,0.469083,35,0.501017,34.96815307,78,0.484995,79,0.5,79,44,44.03184693
98,0.5,31,0.47234,32,0.510341,31.72787558,74,0.493381,75,0.516996,74.28028795,43,42.55241237
99,0.5,33,0.492776,34,0.538846,33.15680486,75,0.477273,76,0.508959,75.71725683,42,42.56045197
100,0.5,36,0.488318,37,0.542408,36.21597338,76,0.495726,77,0.530963,76.12129296,40,39.90531958
101,0.5,30,0.496689,31,0.5,31,72,0.491015,73,0.517986,72.33313559,42,41.33313559
102,0.5,33,0.475649,34,0.506391,33.79210852,73,0.479769,74,0.521196,73.48835301,40,39.69624449
103,0.5,35,0.481218,36,0.504024,35.8235552,73,0.451342,74,0.524468,73.66539945,38,37.84184424
104,0.5,34,0.496228,35,0.527421,34.12092457,76,0.496904,77,0.536476,76.07823714,42,41.95731257
105,0.5,42,0.495213,43,0.523209,42.17098871,83,0.480888,84,0.511964,83.61500837,41,41.44401965
