Number,DRIVE_EFFICIENCY,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
90,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
91,0.5,115,0.470464,116,0.508631,115.7738622,356,0.478284,357,0.519162,356.5312393,241,240.7573771
92,0.5,85,0.498858,86,0.529545,85.03721446,304,0.493243,305,0.507585,304.4711337,219,219.4339193
93,0.5,78,0.49235,79,0.515837,78.3257121,344,0.479615,345,0.502884,344.8760583,266,266.5503462
94,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
95,0.5,110,0.486947,111,0.502278,110.8514122,363,0.494015,364,0.506173,363.4922685,253,252.6408563
96,0.5,140,0.49258,141,0.518286,140.2886486,357,0.492465,358,0.517785,357.2975908,217,217.0089423
97,0.5,78,0.492497,79,0.501596,78.82459611,298,0.473341,299,0.508446,298.7594075,220,219.9348114
98,0.5,93,0.482643,94,0.505062,93.77420938,321,0.471687,322,0.501732,321.9423531,228,228.1681438
99,0.5,110,0.487952,111,0.509279,110.5649177,378,0.491587,379,0.515067,378.3583049,268,267.7933872
100,0.5,115,0.497672,116,0.525789,115.0827969,379,0.493476,380,0.521921,379.2293549,264,264.146558
101,0.5,140,0.491335,141,0.512778,140.4040946,386,0.487634,387,0.508294,386.5985479,246,246.1944533
102,0.5,122,0.4907,123,0.514241,122.3950554,348,0.495187,349,0.501722,348.7364958,226,226.3414404
103,0.5,148,0.491199,149,0.505441,148.617961,397,0.491081,398,0.522905,397.2802602,249,248.6622992
104,0.5,108,0.498346,109,0.501665,108.4983429,335,0.483642,336,0.503268,335.8334862,227,227.3351433
105,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
106,0.5,93,0.492009,94,0.514318,93.35819624,368,0.49467,369,0.526835,368.1657081,275,274.8075118
107,0.5,145,0.498339,146,0.532278,145.0489407,361,0.48589,362,0.50165,361.8953046,216,216.8463638
108,0.5,132,0.488852,133,0.514269,132.4386041,330,0.496595,331,0.546037,330.0688686,198,197.6302645
109,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
110,0.5,92,0.488281,93,0.506565,92.6409429,286,0.473844,287,0.507982,286.7661843,194,194.1252414
111,0.5,83,0.480181,84,0.5,84,346,0.494235,347,0.518994,346.2328446,263,262.2328446
112,0.5,59,0.497462,60,0.505274,59.32488479,297,0.482854,298,0.502217,297.8855033,238,238.5606185
113,0.5,98,0.49105,99,0.511743,98.43251341,311,0.464246,312,0.511021,311.7643827,213,213.3318693
114,0.5,82,0.489722,83,0.501708,82.85750042,316,0.485834,317,0.503755,316.7904693,234,233.9329689
115,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
116,0.5,129,0.483243,130,0.504056,129.8051218,402,0.464,403,0.5,403,273,273.1948782
117,0.5,122,0.485532,123,0.502193,122.8683752,334,0.468854,335,0.5044,334.8762167,212,212.0078415
118,0.5,169,0.490811,170,0.506466,169.586969,411,0.460526,412,0.50732,411.8435697,242,242.2566007
119,0.5,96,0.482924,97,0.501665,96.91115736,355,0.499432,356,0.52662,355.0208916,259,258.1097342
120,0.5,122,0.47756,123,0.507403,122.7519351,345,0.475463,346,0.502174,345.9186103,223,223.1666752
121,0.5,118,0.495958,119,0.513736,118.2273597,379,0.490486,380,0.509662,379.496141,261,261.2687814
122,0.5,100,0.496524,101,0.532944,100.0954421,340,0.482124,341,0.522931,340.4380621,240,240.34262
123,0.5,122,0.498935,123,0.511401,122.0854324,368,0.495526,369,0.525952,368.1470453,246,246.0616129
124,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
125,0.5,89,0.473898,90,0.506111,89.81029398,323,0.494233,324,0.520902,323.2162436,234,233.4059496
126,0.5,91,0.491667,92,0.519002,91.30484727,312,0.483498,313,0.507946,312.6749836,221,221.3701364
127,0.5,94,0.496063,95,0.505017,94.43969176,283,0.484192,284,0.508542,283.6491992,189,189.2095074
128,0.5,87,0.474828,88,0.522124,87.5322226,351,0.498246,352,0.50113,351.6081831,264,264.0759605
129,0.5,82,0.48427,83,0.501096,82.93486271,306,0.489606,307,0.516988,306.3795924,224,223.4447297
130,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
131,0.5,101,0.499461,102,0.523731,101.0222085,337,0.483352,338,0.504742,337.7783076,236,236.7560991
132,0.5,176,0.498881,177,0.51261,176.0815063,401,0.496305,402,0.520983,401.1497285,225,225.0682222
133,0.5,133,0.453596,134,0.504505,133.9115088,364,0.492416,365,0.517007,364.3084055,231,230.3968967
134,0.5,128,0.47817,129,0.540289,128.3514223,349,0.493529,350,0.504844,349.5718957,221,221.2204734
135,0.5,95,0.479839,96,0.501597,95.92660171,370,0.495633,371,0.5,371,275,275.0733983
136,0.5,101,0.492353,102,0.5228,101.2511577,351,0.495921,352,0.511614,351.2599248,250,250.0087671
137,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
138,0.5,66,0.484699,67,0.507795,66.66249567,300,0.486694,301,0.521216,300.3854354,234,233.7229397
139,0.5,82,0.491399,83,0.51218,82.41388769,325,0.480653,326,0.504667,325.805655,243,243.3917673
140,0.5,87,0.486809,88,0.515186,87.46484829,310,0.477981,311,0.514831,310.5975305,223,223.1326822
141,0.5,121,0.495716,122,0.504005,121.5168295,385,0.473081,386,0.52139,385.5572254,264,264.0403958
142,0.5,77,0.497748,78,0.516949,77.11728556,326,0.481828,327,0.501053,326.9452276,249,249.827942
143,0.5,95,0.494118,96,0.518191,95.24434013,296,0.495977,297,0.510328,296.2803289,201,201.0359888
144,0.5,98,0.47981,99,0.510117,98.66618273,297,0.487931,298,0.507953,297.6027869,199,198.9366042
145,0.5,93,0.488372,94,0.511831,93.4956733,308,0.487833,309,0.511521,308.5136356,215,215.0179623
146,0.5,96,0.487682,97,0.512568,96.4949771,347,0.499427,348,0.520809,347.0267982,251,250.5318211
147,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
148,0.5,118,0.494681,119,0.521587,118.1976882,365,0.486145,366,0.51087,365.560364,247,247.3626758
149,0.5,0,0,0,0,1000,0,0,0,0,1000,1000,1000
150,0.5,98,0.489909,99,0.502128,98.825845,383,0.480043,384,0.522404,383.4711173,285,284.6452723
151,0.5,81,0.465241,82,0.503468,81.90927878,322,0.498888,323,0.523573,322.0450476,241,240.1357688
