suppressed,gen_suppressed, avg_gen,avg_adult, avg_adult_fe, avg_fertile_fe, avg_rate_dr, avg_has_dr, min_adult2, min_adult_fe2, min_fertile_fe2, max_rate_dr2, max_has_dr2,release,conversion,migration
0,10000,200.0,99949.24444444444,50000.59259259259,50000.59259259259,0.0,0.0,98818,49569,49569,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,124318.11111111111,59647.26666666667,47419.7037037037,0.037403773333333334,0.0748075377777778,98671,49585,49585,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124270.65185185186,59694.05185185185,47427.34074074074,0.037499711851851844,0.07499941777777774,98765,49454,49454,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124332.82962962963,59656.333333333336,47436.92592592593,0.03744462518518517,0.07488924666666663,98919,49534,49534,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124235.56296296297,59645.38518518519,47421.718518518515,0.03746651259259261,0.07493302222222226,99172,49493,49493,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124331.7925925926,59614.32592592593,47421.42222222222,0.03748393999999999,0.07496788000000003,98628,49468,49468,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124289.2074074074,59688.637037037035,47417.11851851852,0.03755799555555554,0.07511598740740741,98992,49509,49509,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124285.71851851852,59612.496296296296,47416.42222222222,0.037417039259259266,0.07483407777777781,98998,49526,49526,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124299.25185185185,59650.61481481481,47404.666666666664,0.037478920740740745,0.07495785259259258,98945,49623,49623,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124215.71851851852,59647.45925925926,47431.72592592592,0.037498787407407426,0.07499756962962963,98741,49449,49449,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124178.67407407408,59638.46666666667,47442.76296296297,0.0374433711111111,0.07488674592592595,98855,49524,49524,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124218.22222222222,59645.22222222222,47417.21481481481,0.037469450370370354,0.07493889999999997,99070,49473,49473,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124330.9037037037,59659.38518518519,47416.91851851852,0.037527679259259254,0.07505535851851852,98783,49550,49550,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124255.19259259259,59602.77777777778,47415.88148148148,0.03737331777777777,0.07474664074074072,98837,49480,49480,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124424.14074074074,59691.177777777775,47390.903703703705,0.03756746740740742,0.07513493037037038,98726,49588,49588,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124225.92592592593,59547.933333333334,47426.23703703703,0.03726345555555558,0.07452692222222224,98620,49492,49492,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124276.0962962963,59646.08148148148,47431.637037037035,0.03737844296296296,0.07475688814814815,98996,49552,49552,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124357.74074074074,59720.392592592594,47403.82962962963,0.03763149259259259,0.07526298370370364,98666,49395,49395,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124352.81481481482,59651.97037037037,47402.281481481485,0.03751934370370369,0.07503868444444443,98931,49583,49583,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124373.91111111111,59665.67407407407,47423.15555555555,0.0374207437037037,0.07484149333333336,98798,49592,49592,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,124223.28888888888,59633.30370370371,47418.13333333333,0.03741120518518516,0.07482240962962962,98849,49344,49344,0.0,0.0,0.1,0.0,0.0
0,10000,200.0,143270.26666666666,66646.52592592593,45280.666666666664,0.06088434296296296,0.12176868148148154,99010,49575,49575,0.0,0.0,0.2,0.0,0.0
0,10000,200.0,143316.43703703705,66627.56296296297,45269.53333333333,0.06079682962962962,0.12159363703703703,98930,49532,49532,0.0,0.0,0.2,0.0,0.0
0,10000,200.0,143222.4148148148,66563.74814814815,45287.57777777778,0.06067567703703701,0.12135136296296294,98943,49497,49497,0.0,0.0,0.2,0.0,0.0
0,10000,200.0,143044.00740740742,66553.08148148148,45320.02962962963,0.06089319481481481,0.12178637037037036,98843,49478,49478,0.0,0.0,0.2,0.0,0.0
