Generation,Wild_Type_Gene_Frequency,Num_Wild_Gene
11,0.63678,89465
12,0.522681,68179
13,0.403507,47132
14,0.292649,28243
15,0.202554,14800
16,0.138139,6788
17,0.0980717,2960
18,0.0600056,1063
19,0.0240991,212
20,0.0127264,26
21,0,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
91,NAN,0
92,NAN,0
93,NAN,0
94,NAN,0
95,NAN,0
96,NAN,0
97,NAN,0
98,NAN,0
99,NAN,0
100,NAN,0
NAN,NAN,NAN
1,0.992496,148664
2,0.98773,148364
3,0.980089,146242
4,0.968662,146330
5,0.950493,142169
6,0.922933,137193
7,0.881575,130675
8,0.821001,120656
9,0.738288,106783
10,0.633533,90274
11,0.519056,67674
12,0.402072,46564
13,0.294996,28242
14,0.206839,15103
15,0.135614,6914
16,0.0882892,2696
17,0.0540899,896
18,0.0357777,262
19,0.033209,89
20,0,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
