Generation,New_Num_Wild_Gene_Frequency,Wild_Type_Gene_Frequency,New_Num_Wild_Gene,Num_Wild_Gene
5,0.985498,0.98078,200068,150231
6,0.981513,0.975507,200264,150233
7,0.97656,0.969003,198476,148926
8,0.97024,0.960653,200306,150007
9,0.962999,0.951299,198686,149118
10,0.954782,0.940494,199286,149167
11,0.943208,0.925483,197172,147448
12,0.928355,0.906286,195337,145787
13,0.910073,0.883395,194286,145444
14,0.887623,0.855046,194574,145309
15,0.859664,0.820497,191810,143125
16,0.83028,0.784306,190609,141677
17,0.791658,0.738896,185563,138198
18,0.751968,0.69218,183766,136300
19,0.703304,0.63776,177722,131999
20,0.653502,0.581869,172850,127537
21,0.59571,0.521882,163564,121167
22,0.542509,0.465479,157331,115538
23,0.484809,0.40884,145528,106953
24,0.427369,0.353926,134092,98425
25,0.370595,0.301718,121724,89326
26,0.319506,0.255451,109657,80130
27,0.273432,0.215751,97229,71076
28,0.234221,0.182102,86266,62796
29,0.195989,0.15096,73672,53736
30,0.164436,0.12536,63898,46537
31,0.134552,0.101823,53272,38845
32,0.113964,0.0848585,46088,33226
33,0.0907934,0.0680205,37250,27225
34,0.0799214,0.0584578,33250,23766
35,0.0630907,0.0470819,26367,19346
36,0.0541381,0.0394531,22869,16411
37,0.0445981,0.0325358,18969,13666
38,0.0367455,0.026897,15790,11441
39,0.0302377,0.0219036,12999,9336
40,0.0247556,0.0180045,10673,7709
41,0.0219196,0.0154742,9472,6643
42,0.0169238,0.0122988,7355,5320
43,0.0121704,0.00919946,5313,4004
44,0.0123002,0.00842439,5378,3669
45,0.00726391,0.00573226,3164,2493
46,0.00724323,0.00492253,3171,2150
47,0.00602646,0.00431236,2643,1888
48,0.00283099,0.00246631,1239,1079
49,0.00424921,0.00274454,1870,1206
50,0.00391861,0.00259151,1717,1134
51,0.00223239,0.00179035,978,784
52,0.00349717,0.002194,1537,963
53,0.00115454,0.00115454,505,505
54,NAN,NAN,0,0
55,NAN,NAN,0,0
56,NAN,NAN,0,0
57,NAN,NAN,0,0
58,NAN,NAN,0,0
59,NAN,NAN,0,0
60,NAN,NAN,0,0
61,NAN,NAN,0,0
62,NAN,NAN,0,0
63,NAN,NAN,0,0
64,NAN,NAN,0,0
65,NAN,NAN,0,0
66,NAN,NAN,0,0
67,NAN,NAN,0,0
68,NAN,NAN,0,0
69,NAN,NAN,0,0
70,NAN,NAN,0,0
71,NAN,NAN,0,0
72,NAN,NAN,0,0
73,NAN,NAN,0,0
74,NAN,NAN,0,0
75,NAN,NAN,0,0
76,NAN,NAN,0,0
77,NAN,NAN,0,0
78,NAN,NAN,0,0
79,NAN,NAN,0,0
80,NAN,NAN,0,0
81,NAN,NAN,0,0
82,NAN,NAN,0,0
83,NAN,NAN,0,0
84,NAN,NAN,0,0
85,NAN,NAN,0,0
86,NAN,NAN,0,0
87,NAN,NAN,0,0
88,NAN,NAN,0,0
89,NAN,NAN,0,0
90,NAN,NAN,0,0
91,NAN,NAN,0,0
92,NAN,NAN,0,0
93,NAN,NAN,0,0
94,NAN,NAN,0,0
95,NAN,NAN,0,0
96,NAN,NAN,0,0
97,NAN,NAN,0,0
98,NAN,NAN,0,0
99,NAN,NAN,0,0
100,NAN,NAN,0,0
101,NAN,NAN,0,0
102,NAN,NAN,0,0
103,NAN,NAN,0,0
104,NAN,NAN,0,0
105,NAN,NAN,0,0
106,NAN,NAN,0,0
107,NAN,NAN,0,0
108,NAN,NAN,0,0
109,NAN,NAN,0,0
110,NAN,NAN,0,0
111,NAN,NAN,0,0
112,NAN,NAN,0,0
113,NAN,NAN,0,0
114,NAN,NAN,0,0
115,NAN,NAN,0,0
116,NAN,NAN,0,0
117,NAN,NAN,0,0
118,NAN,NAN,0,0
119,NAN,NAN,0,0
120,NAN,NAN,0,0
121,NAN,NAN,0,0
122,NAN,NAN,0,0
123,NAN,NAN,0,0
124,NAN,NAN,0,0
125,NAN,NAN,0,0
126,NAN,NAN,0,0
127,NAN,NAN,0,0
128,NAN,NAN,0,0
129,NAN,NAN,0,0
130,NAN,NAN,0,0
131,NAN,NAN,0,0
132,NAN,NAN,0,0
133,NAN,NAN,0,0
134,NAN,NAN,0,0
135,NAN,NAN,0,0
136,NAN,NAN,0,0
137,NAN,NAN,0,0
138,NAN,NAN,0,0
139,NAN,NAN,0,0
140,NAN,NAN,0,0
141,NAN,NAN,0,0
142,NAN,NAN,0,0
143,NAN,NAN,0,0
144,NAN,NAN,0,0
145,NAN,NAN,0,0
146,NAN,NAN,0,0
147,NAN,NAN,0,0
148,NAN,NAN,0,0
149,NAN,NAN,0,0
150,NAN,NAN,0,0
NAN,NAN,NAN,NAN,NAN
1,0.99764,0.996852,200791,150431
2,0.996329,0.995113,198943,149258
3,0.995671,0.994237,200331,150273
4,0.994039,0.992066,199094,149289
5,0.99272,0.990322,199094,149400
6,0.990598,0.987517,201133,151014
7,0.988123,0.984214,200998,150628
8,0.984554,0.979528,199197,149519
9,0.980316,0.973904,199359,149391
10,0.974783,0.966689,198074,148698
11,0.968741,0.958698,200632,150274
12,0.96023,0.947654,198036,148487
13,0.950744,0.935288,197846,148145
14,0.938434,0.919329,196889,147203
15,0.922984,0.899729,194576,145685
16,0.905613,0.87735,196288,146342
17,0.882966,0.849083,193502,144300
18,0.85576,0.815473,191081,142331
19,0.824636,0.77781,189094,140768
20,0.785923,0.732299,185720,138384
21,0.743445,0.682549,183051,135819
22,0.696094,0.629446,177628,131731
23,0.643875,0.572338,170408,126137
24,0.59118,0.516167,164497,121357
25,0.534003,0.457336,154327,113497
26,0.4751,0.399342,143350,105295
27,0.418614,0.345389,131886,96644
28,0.365685,0.297332,120635,88545
29,0.318724,0.254419,109984,80222
30,0.273099,0.214675,97000,70576
31,0.230165,0.179404,84250,61607
32,0.194829,0.149491,73810,53615
33,0.163404,0.123982,63446,45973
34,0.135684,0.102061,53673,38861
35,0.109414,0.0822101,44171,32205
36,0.0931877,0.0689577,38332,27627
37,0.077226,0.0568557,31987,23041
38,0.0614432,0.0457204,25728,18829
39,0.0509035,0.0372351,21556,15544
40,0.0397986,0.0295786,16964,12475
41,0.0349259,0.0249019,15044,10616
42,0.0299629,0.0211878,12874,9022
43,0.0232314,0.0169274,10017,7252
44,0.021359,0.0152176,9268,6562
45,0.0165365,0.0121516,7149,5230
46,0.0157003,0.0108992,6841,4726
47,0.0137545,0.00950432,5975,4111
48,0.011239,0.00801662,4906,3488
49,0.0097377,0.00695305,4247,3024
50,0.00515092,0.00429536,2254,1878
51,0.00356608,0.00290349,1567,1275
52,0.00317386,0.00232598,1393,1020
53,0.00252029,0.00181061,1106,794
54,0.000865182,0.000865182,380,380
55,NAN,NAN,0,0
56,NAN,NAN,0,0
57,NAN,NAN,0,0
58,NAN,NAN,0,0
59,NAN,NAN,0,0
60,NAN,NAN,0,0
61,NAN,NAN,0,0
62,NAN,NAN,0,0
63,NAN,NAN,0,0
64,NAN,NAN,0,0
65,NAN,NAN,0,0
66,NAN,NAN,0,0
67,NAN,NAN,0,0
68,NAN,NAN,0,0
69,NAN,NAN,0,0
70,NAN,NAN,0,0
71,NAN,NAN,0,0
72,NAN,NAN,0,0
73,NAN,NAN,0,0
74,NAN,NAN,0,0
75,NAN,NAN,0,0
76,NAN,NAN,0,0
77,NAN,NAN,0,0
78,NAN,NAN,0,0
79,NAN,NAN,0,0
80,NAN,NAN,0,0
81,NAN,NAN,0,0
82,NAN,NAN,0,0
83,NAN,NAN,0,0
84,NAN,NAN,0,0
85,NAN,NAN,0,0
86,NAN,NAN,0,0
87,NAN,NAN,0,0
88,NAN,NAN,0,0
89,NAN,NAN,0,0
90,NAN,NAN,0,0
