Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
6,2,0.6,16,0.823455,17,0.778986,16.52744609,43,0.802885,44,0.783648,43.14997141,27,26.62252532
7,2,0.6,19,0.821111,20,0.788207,19.64159373,48,0.805949,49,0.753138,48.11264699,29,28.47105326
8,2,0.6,16,0.835805,17,0.799789,16.99414149,41,0.842548,42,0.79319,41.86202845,25,24.86788695
9,2,0.6,11,0.802938,12,0.787081,11.18528095,47,0.813539,48,0.790036,47.57605412,36,36.39077317
10,2,0.6,13,0.818999,14,0.784106,13.54449316,42,0.826291,43,0.782663,42.60261759,29,29.05812442
11,2,0.6,14,0.848018,15,0.790929,14.84110774,49,0.816708,50,0.782443,49.48761127,35,34.64650352
12,2,0.6,16,0.811631,17,0.773234,16.30291429,55,0.815136,56,0.773183,55.36078469,39,39.0578704
13,2,0.6,13,0.802018,14,0.777228,13.08140379,49,0.807876,50,0.790609,49.45613019,36,36.3747264
14,2,0.6,16,0.816176,17,0.796703,16.83068865,47,0.818605,48,0.792142,47.7030571,31,30.87236845
15,2,0.6,15,0.824623,16,0.798122,15.92913475,46,0.820238,47,0.798765,46.94248591,31,31.01335116
16,2,0.6,14,0.817229,15,0.784615,14.52827007,40,0.851016,41,0.790303,40.84028132,26,26.31201126
17,2,0.6,22,0.803499,23,0.753548,22.07004865,54,0.818182,55,0.776159,54.43266782,32,32.36261918
18,2,0.6,14,0.813953,15,0.770323,14.31980289,46,0.81398,47,0.793194,46.67256807,32,32.35276519
19,2,0.6,17,0.802296,18,0.798359,17.58318517,47,0.811905,48,0.792699,47.61985838,30,30.03667321
0,2,0.65,12,0.805556,13,0.788056,12.31748571,38,0.813119,39,0.797351,38.83200152,26,26.51451581
1,2,0.65,12,0.818841,13,0.785545,12.56586377,41,0.803013,42,0.784135,41.15960377,29,28.59374
2,2,0.65,10,0.801274,11,0.765306,10.03542037,40,0.820545,41,0.771208,40.41642175,30,30.38100138
3,2,0.65,9,0.830645,10,0.784748,9.667690699,34,0.819775,35,0.777506,34.46783695,25,24.80014625
4,2,0.65,10,0.815523,11,0.79209,10.66244186,35,0.81427,36,0.78213,35.44399502,25,24.78155317
5,2,0.65,14,0.847285,15,0.798561,14.9704663,39,0.831731,40,0.793671,39.83370993,25,24.86324363
