Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
3,2,0.7,7,0.859844,8,0.798619,7.977443855,26,0.809574,27,0.759957,26.19295806,19,18.2155142
4,2,0.7,6,0.821101,7,0.769231,6.406805475,23,0.868195,24,0.796984,23.95764699,17,17.55084152
5,2,0.7,7,0.818182,8,0.7797,7.47248064,25,0.828039,26,0.784291,25.64092073,18,18.16844009
6,2,0.7,7,0.882291,8,0.793031,7.921924714,25,0.833158,26,0.793258,25.83102757,18,17.90910285
7,2,0.7,7,0.813459,8,0.777512,7.374412329,28,0.830254,29,0.762887,28.44909229,21,21.07467996
8,2,0.7,6,0.853231,7,0.785115,6.781475718,25,0.829832,26,0.764777,25.45856583,19,18.67709011
9,2,0.7,7,0.810664,8,0.733822,7.138778272,24,0.812217,25,0.747573,24.18898892,17,17.05021065
10,2,0.7,5,0.838812,6,0.761129,5.499620252,23,0.828063,24,0.772298,23.5032368,18,18.00361655
11,2,0.7,7,0.810939,8,0.743199,7.16148509,23,0.801332,24,0.760894,23.03293931,16,15.87145422
12,2,0.7,7,0.821262,8,0.793702,7.771480406,24,0.812571,25,0.712329,24.12540652,17,16.35392611
13,2,0.7,6,0.840708,7,0.793687,6.865740839,22,0.808487,23,0.783845,22.34441198,16,15.47867114
14,2,0.7,7,0.830103,8,0.738149,7.327370207,24,0.813452,25,0.728211,24.15781138,17,16.83044118
15,2,0.7,6,0.851891,7,0.765714,6.602144424,24,0.80916,25,0.778169,24.29556968,18,17.69342526
16,2,0.7,7,0.857143,8,0.77972,7.738062333,25,0.806522,26,0.78671,25.32919443,18,17.59113209
17,2,0.7,7,0.808187,8,0.762019,7.177330619,22,0.814855,23,0.741573,22.20271008,15,15.02537946
18,2,0.7,7,0.807273,8,0.682103,7.058104977,25,0.864184,26,0.797968,25.96931255,18,18.91120758
19,2,0.7,7,0.813008,8,0.77312,7.326113117,23,0.835498,24,0.783754,23.68603123,16,16.35991811
0,2,0.75,6,0.821678,7,0.771429,6.43141157,21,0.806904,22,0.706823,21.06898412,15,14.63757255
1,2,0.75,6,0.818872,7,0.772093,6.403428889,21,0.844091,22,0.798117,21.95904207,15,15.55561318
2,2,0.75,6,0.803279,7,0.758997,6.074048146,20,0.86261,21,0.799386,20.9902885,14,14.91624035
3,2,0.75,6,0.816562,7,0.741111,6.2195067,20,0.800664,21,0.735484,20.01018717,14,13.79068047
4,2,0.75,6,0.83709,7,0.764967,6.514260361,21,0.801383,22,0.720982,21.01720128,15,14.50294092
5,2,0.75,6,0.826489,7,0.740202,6.306987148,21,0.849057,22,0.775049,21.66286077,15,15.35587362
6,2,0.75,6,0.800633,7,0.754982,6.013866071,21,0.850925,22,0.782222,21.74123401,15,15.72736794
7,2,0.75,7,0.80692,8,0.740964,7.10491843,22,0.844354,23,0.777654,22.66497751,15,15.56005908
8,2,0.75,5,0.880081,6,0.797968,5.975253614,23,0.83709,24,0.775293,23.60019095,18,17.62493733
9,2,0.75,5,0.850159,6,0.777035,5.685944423,18,0.849198,19,0.785957,18.77794469,13,13.09200026
10,2,0.75,5,0.88165,6,0.793028,5.92132879,22,0.805687,23,0.748193,22.09891467,17,16.17758588
11,2,0.75,6,0.820166,7,0.73918,6.249006001,22,0.81295,23,0.719114,22.13800674,16,15.88900073
12,2,0.75,6,0.833155,7,0.791186,6.789987848,21,0.816857,22,0.738479,21.21507311,15,14.42508526
13,2,0.75,6,0.824847,7,0.744931,6.31091396,23,0.869521,24,0.794702,23.92918911,17,17.61827515
14,2,0.75,6,0.807527,7,0.764778,6.176074294,21,0.80826,22,0.730519,21.10625024,15,14.93017595
15,2,0.75,6,0.820202,7,0.774397,6.441043554,20,0.80257,21,0.717468,20.03019906,14,13.5891555
16,2,0.75,4,0.861439,5,0.775154,4.712047285,21,0.845111,22,0.765703,21.56809138,17,16.85604409
17,2,0.75,6,0.827843,7,0.783659,6.630160239,20,0.82631,21,0.734848,20.28766045,14,13.65750021
18,2,0.75,6,0.809422,7,0.757653,6.182000811,22,0.805208,23,0.711744,22.05572199,16,15.87372118
19,2,0.75,6,0.832797,7,0.769824,6.520810506,20,0.861505,21,0.777288,20.73031573,14,14.20950523
0,2,0.8,5,0.846234,6,0.736607,5.42173917,18,0.841785,19,0.787514,18.76993238,13,13.34819321
1,2,0.8,5,0.868132,6,0.79001,5.87212309,20,0.852941,21,0.789641,20.83635071,15,14.96422762
2,2,0.8,6,0.801792,7,0.675182,6.0141537,19,0.838743,20,0.774923,19.60706675,13,13.59291305
3,2,0.8,5,0.847439,6,0.772941,5.636782195,20,0.872618,21,0.786611,20.84432662,15,15.20754443
4,2,0.8,5,0.839266,6,0.763617,5.51905511,19,0.853945,20,0.782328,19.75324295,14,14.23418784
5,2,0.8,5,0.842503,6,0.77146,5.598271469,18,0.827655,19,0.766667,18.45344986,13,12.85517839
6,2,0.8,6,0.827406,7,0.742824,6.32401693,19,0.871414,20,0.799804,19.99726295,13,13.67324602
7,2,0.8,5,0.866002,6,0.768018,5.673599771,19,0.843198,20,0.710145,19.32466761,14,13.65106784
8,2,0.8,6,0.822928,7,0.747967,6.305865717,19,0.864278,20,0.781182,19.77353904,13,13.46767332
9,2,0.8,5,0.802059,6,0.719543,5.024952736,18,0.865927,19,0.792181,18.89397391,13,13.86902117
10,2,0.8,4,0.853125,5,0.770956,4.646533364,17,0.873737,18,0.799788,17.99713316,13,13.3505998
11,2,0.8,6,0.837444,7,0.735499,6.367296091,20,0.880317,21,0.78884,20.87800212,14,14.51070603
12,2,0.8,5,0.84858,6,0.799304,5.985875477,21,0.856831,22,0.759465,21.58368424,16,15.59780877
