Number,GROWTH,MUTLIPLIER,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
11,2,0.55,16,0.431227,17,0.547126,16.59338735,36,0.442797,37,0.542035,36.57642234,20,19.98303499
12,2,0.55,16,0.490762,17,0.578502,16.10528835,34,0.490816,35,0.567532,34.11971427,18,18.01442592
13,2,0.55,14,0.439167,15,0.525826,14.70198133,36,0.461017,37,0.536697,36.51510307,22,21.81312174
14,2,0.55,14,0.495069,15,0.589412,14.05226673,36,0.452847,37,0.53277,36.58998036,22,22.53771363
15,2,0.55,15,0.457885,16,0.520492,15.67268836,35,0.425955,36,0.511066,35.86998155,20,20.1972932
16,2,0.55,15,0.471971,16,0.606707,15.20802903,38,0.459055,39,0.52439,38.6266932,23,23.41866416
17,2,0.55,16,0.487455,17,0.547817,16.20782943,35,0.462413,36,0.524892,35.60159414,19,19.39376471
18,2,0.55,14,0.480806,15,0.524719,14.43709152,36,0.473864,37,0.533708,36.43673551,22,21.99964399
19,2,0.55,14,0.4375,15,0.558017,14.51859904,36,0.484848,37,0.539841,36.27552598,22,21.75692694
0,2,0.6,15,0.4875,16,0.534826,15.26412543,34,0.481195,35,0.565789,34.22229709,19,18.95817166
1,2,0.6,15,0.487552,16,0.52439,15.33791194,39,0.498925,40,0.551351,39.02050509,24,23.68259315
2,2,0.6,14,0.466862,15,0.533981,14.49372011,32,0.428429,33,0.534232,32.6764553,18,18.18273519
3,2,0.6,14,0.472477,15,0.540189,14.40647153,34,0.482759,35,0.60022,34.14678063,20,19.74030911
4,2,0.6,13,0.449558,14,0.580943,13.38392511,32,0.474286,33,0.527551,32.48275603,19,19.09883093
5,2,0.6,14,0.442184,15,0.553109,14.52121704,31,0.475845,32,0.570106,31.25625656,17,16.73503953
6,2,0.6,16,0.491285,17,0.612188,16.07208258,37,0.472973,38,0.580645,37.25101233,21,21.17892976
7,2,0.6,13,0.47822,14,0.531513,13.40868407,32,0.473276,33,0.561247,32.30378193,19,18.89509786
8,2,0.6,15,0.398887,16,0.513592,15.88150473,32,0.457198,33,0.514069,32.75261557,17,16.87111084
9,2,0.6,15,0.475687,16,0.548352,15.33459024,35,0.495475,36,0.599299,35.04358337,20,19.70899313
10,2,0.6,15,0.470998,16,0.536876,15.44023802,36,0.448541,37,0.525617,36.66763973,21,21.22740172
11,2,0.6,12,0.443309,13,0.516899,12.77036282,35,0.47619,36,0.53163,35.4294733,23,22.65911048
12,2,0.6,13,0.474747,14,0.531553,13.44454811,35,0.450787,36,0.582441,35.37380558,22,21.92925747
13,2,0.6,15,0.487567,16,0.546135,15.21228316,33,0.405172,34,0.50969,33.9072887,18,18.69500554
14,2,0.6,14,0.480322,15,0.54803,14.29063035,34,0.465265,35,0.500874,34.97545564,20,20.68482529
15,2,0.6,16,0.46645,17,0.576115,16.3059317,37,0.481641,38,0.572639,37.20175169,21,20.89581999
16,2,0.6,14,0.419792,15,0.527484,14.7447907,36,0.468872,37,0.571078,36.30456138,22,21.55977068
17,2,0.6,14,0.492,15,0.552133,14.13303843,31,0.494242,32,0.548077,31.10695644,17,16.97391801
18,2,0.6,14,0.474026,15,0.501232,14.95471587,31,0.406667,32,0.54466,31.6763604,17,16.72164452
19,2,0.6,12,0.462069,13,0.512422,12.75330169,34,0.469965,35,0.559957,34.33375189,22,21.5804502
0,2,0.65,13,0.467257,14,0.542008,13.43802758,35,0.442549,36,0.5,36,22,22.56197242
1,2,0.65,13,0.427032,14,0.50947,13.88512579,31,0.459052,32,0.505906,31.87394886,18,17.98882307
2,2,0.65,14,0.486749,15,0.554737,14.19490204,35,0.458525,36,0.535714,35.53731749,21,21.34241545
3,2,0.65,14,0.44929,15,0.509375,14.84397104,30,0.45976,31,0.546154,30.46577309,16,15.62180205
4,2,0.65,13,0.400558,14,0.516473,13.85788724,29,0.415973,30,0.519268,29.81346629,16,15.95557904
5,2,0.65,13,0.414023,14,0.512586,13.87230502,31,0.461191,32,0.501134,31.97160954,18,18.09930452
6,2,0.65,12,0.460894,13,0.52376,12.62205326,33,0.490315,34,0.559524,33.13993845,21,20.51788519
7,2,0.65,13,0.453159,14,0.558228,13.4458118,30,0.397032,31,0.513095,30.88717335,17,17.44136155
8,2,0.65,14,0.456,15,0.522779,14.65888977,34,0.47332,35,0.507625,34.77772919,20,20.11883942
9,2,0.65,14,0.494624,15,0.556452,14.0869509,30,0.440603,31,0.517172,30.77573169,16,16.6887808
10,2,0.65,14,0.46875,15,0.525386,14.55176919,32,0.412348,33,0.506446,32.93149695,18,18.37972776
11,2,0.65,14,0.452607,15,0.566728,14.41528728,33,0.485876,34,0.529652,33.32264254,19,18.90735526
12,2,0.65,14,0.447619,15,0.517635,14.748129,32,0.458609,33,0.56117,32.40357446,18,17.65544546
