Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
12,2,0.85,5,0.827283,6,0.722286,5.259845519,17,0.867752,18,0.796976,17.95727365,12,12.69742813
13,2,0.85,5,0.820088,6,0.715517,5.192099148,18,0.844565,19,0.71822,18.35272468,13,13.16062553
14,2,0.85,4,0.85595,5,0.763889,4.60774921,18,0.849,19,0.767568,18.60172905,14,13.99397984
15,2,0.85,5,0.826087,6,0.730725,5.273557602,18,0.822111,19,0.742195,18.27667801,13,13.00312041
16,2,0.85,4,0.876161,5,0.768101,4.704802887,18,0.85489,19,0.770544,18.65077182,14,13.94596893
17,2,0.85,4,0.900739,5,0.798913,4.989324927,17,0.85939,18,0.773626,17.69248169,13,12.70315677
18,2,0.85,5,0.832251,6,0.744633,5.368086466,16,0.901222,17,0.799154,16.99171141,11,11.62362494
19,2,0.85,5,0.82879,6,0.759322,5.414435424,20,0.862765,21,0.761853,20.62197756,15,15.20754214
0,2,0.9,5,0.883988,6,0.781053,5.815932385,19,0.826438,20,0.726571,19.26473209,14,13.44879971
1,2,0.9,4,0.875141,5,0.775556,4.754541347,17,0.853239,18,0.757455,17.55582352,13,12.80128217
2,2,0.9,5,0.832827,6,0.76864,5.511427548,18,0.813176,19,0.731501,18.16132231,13,12.64989477
3,2,0.9,5,0.820455,6,0.708972,5.183480889,17,0.889336,18,0.798611,17.98469,12,12.80120911
4,2,0.9,4,0.892451,5,0.794792,4.946671582,15,0.8591,16,0.783121,15.77784651,11,10.83117493
5,2,0.9,4,0.885279,5,0.79257,4.919856756,17,0.83002,18,0.735707,17.31830182,13,12.39844507
6,2,0.9,4,0.869919,5,0.778959,4.76867854,18,0.858308,19,0.794177,18.90920148,14,14.14052294
7,2,0.9,4,0.856243,5,0.778013,4.718944139,17,0.80597,18,0.696782,17.05467634,13,12.3357322
8,2,0.9,5,0.813613,6,0.732979,5.168824565,17,0.872104,18,0.784127,17.81957784,12,12.65075328
9,2,0.9,4,0.858044,5,0.792325,4.8832149,17,0.864389,18,0.757143,17.60038603,13,12.71717113
10,2,0.9,4,0.84507,5,0.751701,4.482708394,17,0.864263,18,0.770241,17.68348897,13,13.20078058
11,2,0.9,5,0.816979,6,0.667384,5.113499783,17,0.810838,18,0.705819,17.10320037,12,11.98970059
12,2,0.9,5,0.80303,6,0.717024,5.0352301,17,0.888224,18,0.797884,17.97657737,12,12.94134727
13,2,0.9,4,0.855567,5,0.730143,4.443033231,18,0.873817,19,0.757225,18.63312234,14,14.19008911
14,2,0.9,4,0.860934,5,0.788313,4.839068589,18,0.800995,19,0.69469,18.00935986,14,13.17029127
15,2,0.9,4,0.865248,5,0.761905,4.631373194,17,0.812202,18,0.699039,17.10782676,13,12.47645357
16,2,0.9,4,0.881474,5,0.79901,4.987994761,15,0.867368,16,0.768499,15.68138648,11,10.69339172
17,2,0.9,4,0.840764,5,0.760674,4.5089774,17,0.801142,18,0.653608,17.00774059,13,12.49876319
18,2,0.9,4,0.83603,5,0.737374,4.365208401,17,0.853636,18,0.755016,17.54386534,13,13.17865694
19,2,0.9,4,0.91123,5,0.798483,4.986545097,17,0.838342,18,0.71766,17.31771101,13,12.33116591
0,2,0.95,4,0.859733,5,0.778256,4.73312714,17,0.862395,18,0.744526,17.52935886,13,12.79623172
1,2,0.95,4,0.843468,5,0.715801,4.340479529,17,0.814123,18,0.702674,17.12672164,13,12.78624211
2,2,0.95,4,0.850312,5,0.752165,4.512618827,16,0.837891,17,0.723858,16.33228101,12,11.81966218
3,2,0.95,4,0.864496,5,0.765169,4.649329991,17,0.862919,18,0.783019,17.78747184,13,13.13814185
4,2,0.95,4,0.829317,5,0.739368,4.325929138,16,0.857288,17,0.785714,16.80040238,12,12.47447324
5,2,0.95,4,0.824084,5,0.707828,4.207163501,16,0.834331,17,0.707392,16.27045274,12,12.06328924
6,2,0.95,4,0.857143,5,0.779463,4.735620494,15,0.887387,16,0.79558,15.95185552,11,11.21623503
7,2,0.95,4,0.871038,5,0.767045,4.68310367,16,0.813522,17,0.66191,16.08918819,12,11.40608452
8,2,0.95,4,0.859002,5,0.711063,4.398826543,15,0.86456,16,0.796797,15.95273232,11,11.55390577
9,2,0.95,4,0.883212,5,0.769697,4.733048496,16,0.859918,17,0.773875,16.69637274,12,11.96332425
10,2,0.95,4,0.803229,5,0.711086,4.035043357,15,0.866601,16,0.769308,15.68454051,11,11.64949716
11,2,0.95,4,0.821251,5,0.692478,4.16502683,17,0.81916,18,0.726136,17.20596835,13,13.04094152
12,2,0.95,4,0.862983,5,0.750577,4.560317065,16,0.841,17,0.744237,16.42371568,12,11.86339861
13,2,0.95,4,0.876742,5,0.760593,4.660720282,17,0.846971,18,0.737742,17.43002316,13,12.76930288
14,2,0.95,4,0.84582,5,0.733333,4.407335959,15,0.825429,16,0.723624,15.24978144,11,10.84244549
15,2,0.95,4,0.85619,5,0.773404,4.678737951,16,0.846377,17,0.678173,16.27571877,12,11.59698082
16,2,0.95,4,0.887786,5,0.779082,4.807569179,16,0.831483,17,0.706775,16.25245373,12,11.44488455
17,2,0.95,4,0.887984,5,0.791583,4.912687628,17,0.911021,18,0.798936,17.9905072,13,13.07781958
18,2,0.95,4,0.880342,5,0.797694,4.972098538,15,0.802094,16,0.679558,15.01708886,11,10.04499032
19,2,0.95,4,0.867725,5,0.733556,4.50477383,16,0.890369,17,0.787736,16.88050627,12,12.37573244
0,2,1,4,0.869347,5,0.749737,4.579775938,16,0.832824,17,0.714894,16.27833461,12,11.69855867
1,2,1,4,0.823529,5,0.673985,4.157338308,15,0.888205,16,0.793241,15.92882566,11,11.77148735
2,2,1,4,0.848677,5,0.737996,4.439795448,15,0.901435,16,0.795407,15.95668125,11,11.51688581
3,2,1,3,0.899194,4,0.796178,3.962898967,15,0.884878,16,0.750485,15.63156563,12,11.66866666
4,2,1,4,0.825688,5,0.693785,4.194749172,15,0.899329,16,0.778915,15.82489578,11,11.6301466
5,2,1,4,0.881238,5,0.799779,4.997286979,16,0.820261,17,0.688581,16.15386543,12,11.15657845
6,2,1,4,0.877895,5,0.76644,4.698891929,16,0.86119,17,0.763653,16.62735167,12,11.92845974
7,2,1,4,0.857936,5,0.745455,4.515073657,16,0.859593,17,0.744843,16.51932898,12,12.00425532
8,2,1,4,0.877406,5,0.769154,4.715053763,15,0.831804,16,0.690968,15.22582294,11,10.51076918
9,2,1,4,0.853738,5,0.738147,4.464897786,15,0.802708,16,0.67146,15.0206327,11,10.55573491
10,2,1,4,0.835805,5,0.708479,4.281207295,14,0.86168,15,0.758842,14.59977829,10,10.318571
11,2,1,4,0.83299,5,0.718067,4.287061772,15,0.893264,16,0.78564,15.86657251,11,11.57951074
12,2,1,4,0.853659,5,0.76096,4.578851983,16,0.816802,17,0.668108,16.11299716,12,11.53414518
13,2,1,4,0.858546,5,0.717573,4.415299384,15,0.846318,16,0.730813,15.40100429,11,10.9857049
14,2,1,3,0.889458,4,0.787212,3.874929093,15,0.893411,16,0.797379,15.97270701,12,12.09777792
15,2,1,4,0.823529,5,0.742213,4.289352649,14,0.907646,15,0.796078,14.96484655,10,10.6754939
16,2,1,4,0.808122,5,0.667038,4.057568541,14,0.905754,15,0.794606,14.95147011,10,10.89390157
17,2,1,4,0.811175,5,0.669474,4.07886324,16,0.863683,17,0.753261,16.57672384,12,12.4978606
18,2,1,4,0.84382,5,0.740113,4.422536569,17,0.855615,18,0.764972,17.61356089,13,13.19102432
19,2,1,5,0.803445,6,0.661941,5.024345602,15,0.855212,16,0.768036,15.63333945,10,10.60899385
0,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
1,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
2,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
3,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
4,2.5,0.5,81,0.809187,82,0.799788,81.97744441,0,0,0,0,100,100,100
5,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
6,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
7,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
8,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
9,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
10,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
11,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
12,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
13,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
14,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
15,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
16,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
17,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
18,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
19,2.5,0.5,0,0,0,0,100,0,0,0,0,100,100,100
0,2.5,0.55,20,0.800626,21,0.783943,20.03752323,53,0.800989,54,0.744019,53.01736001,33,32.97983679
1,2.5,0.55,16,0.857793,17,0.796992,16.95052713,60,0.82266,61,0.792179,60.74341393,44,43.7928868
2,2.5,0.55,20,0.821622,21,0.776267,20.47672803,51,0.809685,52,0.744214,51.14792809,31,30.67120006
3,2.5,0.55,17,0.82025,18,0.799037,17.95460331,54,0.855886,55,0.798046,54.96621715,37,37.01161384
4,2.5,0.55,16,0.819362,17,0.767139,16.37075618,52,0.827417,53,0.772469,52.49896266,36,36.12820648
5,2.5,0.55,12,0.835322,13,0.784841,12.6997088,51,0.811297,52,0.791375,51.56706154,39,38.86735274
6,2.5,0.55,16,0.812274,17,0.790499,16.56367394,56,0.820366,57,0.774436,56.44341389,40,39.87973995
7,2.5,0.55,20,0.816254,21,0.794569,20.74955038,53,0.801027,54,0.743462,53.0178407,33,32.26829032
8,2.5,0.55,19,0.815166,20,0.799296,19.95563957,44,0.843891,45,0.795604,44.908961,25,24.95332143
9,2.5,0.55,18,0.801099,19,0.783688,18.06312102,45,0.824808,46,0.799082,45.96431626,27,27.90119524
10,2.5,0.55,14,0.811765,15,0.767561,14.26615238,49,0.816203,50,0.782811,49.48523598,35,35.2190836
11,2.5,0.55,20,0.81602,21,0.797176,20.85013797,57,0.820623,58,0.789035,57.65287451,37,36.80273653
12,2.5,0.55,16,0.804054,17,0.777778,16.15428528,54,0.813688,55,0.788991,54.55423736,38,38.39995208
13,2.5,0.55,14,0.821208,15,0.785311,14.59080146,51,0.808858,52,0.792343,51.53636088,37,36.94555942
14,2.5,0.55,20,0.804374,21,0.788628,20.27778483,51,0.823121,52,0.779394,51.52875798,31,31.25097314
15,2.5,0.55,20,0.834327,21,0.796253,20.90158638,53,0.803632,54,0.75,53.06772076,33,32.16613438
16,2.5,0.55,12,0.835651,13,0.795343,12.88446462,49,0.833333,50,0.783447,49.66818346,37,36.78371884
17,2.5,0.55,21,0.832512,22,0.78392,21.66908133,53,0.801242,54,0.77193,53.04237172,32,31.37329039
