Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
10,2,0.65,5,0.830907,6,0.741379,5.345221607,19,0.822,20,0.66738,19.14228431,14,13.7970627
11,2,0.65,4,0.871287,5,0.781053,4.790023716,19,0.805526,20,0.719075,19.0639206,15,14.27389689
12,2,0.65,5,0.855615,6,0.754345,5.549175472,20,0.806598,21,0.702539,20.06340634,15,14.51423087
13,2,0.65,5,0.811594,6,0.719527,5.125930029,18,0.805836,19,0.67334,18.04404661,13,12.91811658
14,2,0.65,4,0.858617,5,0.788913,4.840941696,17,0.826374,18,0.738007,17.29845983,13,12.45751814
15,2,0.65,4,0.86529,5,0.793953,4.915233329,16,0.875839,17,0.782222,16.81009859,12,11.89486526
16,2,0.65,4,0.871821,5,0.784065,4.818416974,18,0.873737,19,0.781089,18.79588334,14,13.97746637
17,2,0.65,5,0.857605,6,0.715586,5.405614742,18,0.810664,19,0.698876,18.09539485,13,12.68978011
18,2,0.65,5,0.830489,6,0.760547,5.435918332,19,0.811366,20,0.726829,19.13445,14,13.69853167
19,2,0.65,4,0.872967,5,0.749462,4.590801992,17,0.819954,18,0.756757,17.31574284,13,12.72494084
0,2,0.7,4,0.876078,5,0.792601,4.911364807,17,0.83613,18,0.744433,17.39401507,13,12.48265026
1,2,0.7,4,0.819106,5,0.713661,4.181193987,18,0.826464,19,0.714286,18.23591078,14,14.0547168
2,2,0.7,4,0.858025,5,0.763918,4.616585376,17,0.88809,18,0.798736,17.98585402,13,13.36926864
3,2,0.7,4,0.858407,5,0.795205,4.924132148,17,0.88577,18,0.799781,17.99745316,13,13.07332101
4,2,0.7,4,0.856713,5,0.777526,4.716190789,18,0.826183,19,0.685579,18.18621803,14,13.47002724
5,2,0.7,5,0.818826,6,0.713951,5.179508939,18,0.875664,19,0.779279,18.78501842,13,13.60550948
6,2,0.7,4,0.86455,5,0.751599,4.571486751,16,0.886154,17,0.796276,16.95856606,12,12.38707931
7,2,0.7,4,0.875789,5,0.786177,4.845746105,18,0.800861,19,0.684272,18.00738492,14,13.16163881
8,2,0.7,4,0.867679,5,0.793578,4.913334503,18,0.851927,19,0.763931,18.59010637,14,13.67677187
9,2,0.7,5,0.820346,6,0.736901,5.243825274,19,0.822314,20,0.707772,19.19481064,14,13.95098536
10,2,0.7,4,0.858921,5,0.768335,4.650442673,18,0.81867,19,0.708243,18.16907097,14,13.5186283
11,2,0.7,5,0.824971,6,0.670717,5.16188235,18,0.837104,19,0.736779,18.36983803,13,13.20795568
12,2,0.7,5,0.857754,6,0.765591,5.626650608,20,0.805369,21,0.760369,20.11931111,15,14.4926605
13,2,0.7,5,0.812717,6,0.731651,5.156872178,19,0.801959,20,0.673581,19.01525962,14,13.85838745
14,2,0.7,4,0.842813,5,0.787258,4.770641706,16,0.845275,17,0.738895,16.42559692,12,11.65495521
15,2,0.7,4,0.840402,5,0.731678,4.371601486,18,0.867368,19,0.743678,18.54465195,14,14.17305047
16,2,0.7,4,0.862106,5,0.799775,4.996390239,16,0.823276,17,0.708861,16.20343486,12,11.20704463
17,2,0.7,5,0.804529,6,0.707434,5.046645038,17,0.857143,18,0.777083,17.71375219,12,12.66710715
18,2,0.7,4,0.869159,5,0.782413,4.797258663,18,0.847098,19,0.761749,18.55182838,14,13.75456971
19,2,0.7,4,0.837977,5,0.753293,4.448455434,16,0.875406,17,0.796235,16.95244471,12,12.50398927
0,2,0.75,4,0.87458,5,0.783937,4.822788301,18,0.856237,19,0.733405,18.45783672,14,13.63504842
1,2,0.75,4,0.860759,5,0.753178,4.564774449,17,0.883991,18,0.789648,17.89027273,13,13.32549828
2,2,0.75,4,0.846928,5,0.757858,4.526866509,16,0.8666,17,0.767213,16.67010776,12,12.14324125
3,2,0.75,4,0.867585,5,0.760491,4.631081106,17,0.884103,18,0.767442,17.72091787,13,13.08983677
4,2,0.75,5,0.8274,6,0.750274,5.355262817,18,0.839956,19,0.78587,18.7387494,13,13.38348658
5,2,0.75,4,0.875,5,0.774869,4.749018785,17,0.81759,18,0.699223,17.14860561,13,12.39958682
6,2,0.75,4,0.874877,5,0.772622,4.732257591,16,0.846402,17,0.774453,16.64492905,12,11.91267146
7,2,0.75,4,0.827548,5,0.719298,4.254484988,17,0.870213,18,0.790323,17.87887095,13,13.62438596
