Generation,Wild_Type_Gene_Frequency,Num_Wild_Gene
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.993028,198983
2,0.986071,195743
3,0.972426,192797
4,0.946798,188589
5,0.899147,179556
6,0.814742,159150
7,0.688324,129314
8,0.528069,85694
9,0.358082,41781
10,0.2186,13753
11,0.122037,2626
12,0.0610635,271
13,0.0277778,10
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.992733,200546
2,0.985454,196395
3,0.971819,192980
4,0.94579,189561
5,0.897341,177433
6,0.814507,159544
7,0.685778,127958
8,0.523349,84075
9,0.35793,40610
10,0.215865,13223
11,0.108696,2385
12,0.0648256,223
13,0.0403727,13
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.992534,198745
2,0.984518,196947
3,0.969437,193426
4,0.939998,186067
5,0.887068,176931
6,0.799885,154493
7,0.671018,122901
8,0.502667,78958
9,0.335349,36333
10,0.193965,10722
11,0.109897,1901
12,0.0721429,202
13,0.0839695,22
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.992631,198544
2,0.985453,196659
3,0.97149,193614
4,0.944675,189857
5,0.896522,178363
6,0.810607,159957
7,0.678865,126865
8,0.512762,82369
9,0.345135,38535
10,0.207877,12002
11,0.113606,2231
12,0.0553797,210
13,0,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.989955,198193
2,0.979832,195937
3,0.959587,191284
4,0.920929,182285
5,0.852572,168574
6,0.742831,142264
7,0.591137,101763
8,0.417234,56269
9,0.263852,20858
10,0.153503,5100
11,0.0861405,716
12,0.0218579,24
13,NAN,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.989745,197943
2,0.979515,196814
3,0.959772,193492
4,0.922841,185742
5,0.859099,169057
6,0.753306,144799
7,0.60247,106624
