Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,99873
1,100185
1,100067
1,100092
1,100336
1,99777
1,99799
1,99825
1,99420
1,100458
1,100168
1,100346
1,100622
1,99452
1,100143
1,99362
1,100606
1,100585
1,100110
1,100287
1,100238
1,100624
1,99920
1,99423
1,99981
1,100173
1,100244
1,100081
1,99871
NAN,NAN
0.0248225,2458
0.0258393,2533
0.0268354,2619
0.027955,2703
0.0302384,2935
0.031572,3043
0.0318567,3060
0.0319686,3089
0.0326999,3149
0.0333065,3186
0.0347133,3308
0.0348104,3316
0.0359556,3448
0.0365272,3497
0.0381345,3660
0.0391556,3767
0.0387924,3707
0.0425394,4068
0.0448046,4271
0.0465269,4390
0.0482749,4581
0.052525,4955
0.0541963,5088
0.0583529,5514
0.0619637,5820
0.0649373,6018
0.0712838,6610
0.07448,6836
0.0796981,7275
0.0865572,7936
0.0917781,8363
0.0980962,8873
0.10707,9610
0.118543,10542
0.13383,11740
0.149088,12932
0.172765,14855
0.200141,16757
0.237001,19458
0.288624,22614
0.362862,27342
0.471281,34314
0.629357,44381
0.817052,58630
0.961299,76530
0.998278,92759
1,98127
1,99653
1,99461
1,100303
1,99402
1,100049
1,100493
1,99644
1,100318
1,100448
1,100616
1,100223
1,98667
1,99769
1,100409
1,100458
1,99748
1,99360
1,99273
1,100161
1,100328
1,99591
1,99742
1,99684
1,100420
1,99816
1,99836
1,99597
1,99718
1,99538
1,100094
1,99756
1,100267
1,100723
1,100154
1,100283
1,99888
1,99956
1,98791
1,99374
1,99722
1,99826
1,100486
1,100004
1,99817
1,100364
1,100495
1,100580
1,100808
1,100005
1,100162
1,99257
1,99259
1,100558
NAN,NAN
0.0257217,2533
0.0270469,2644
0.0279143,2693
0.0289257,2792
0.0293867,2829
0.0313516,3017
0.0328854,3157
0.0349638,3366
0.03546,3407
0.0385048,3660
0.0401933,3843
0.0423185,4036
0.0433029,4112
0.0446701,4271
0.0461559,4421
0.0497733,4721
0.0506128,4774
0.0538985,5056
0.0561724,5277
0.0583566,5484
0.0605728,5626
0.0634726,5943
0.0675934,6336
0.0727599,6765
0.0776635,7116
0.0842539,7726
0.0917199,8299
0.0974544,8698
0.106108,9481
0.119924,10649
0.134733,11926
0.15159,13048
0.177131,15125
0.208123,17244
0.248482,20139
0.307522,24098
0.389466,29305
0.513502,37253
0.684932,48748
0.871809,64812
0.981538,82777
0.999507,95350
1,98562
1,99327
1,99781
1,99957
1,100737
1,99779
1,100228
1,101037
1,99917
1,100164
1,100050
1,100379
1,100641
1,100305
1,100168
1,100290
1,99937
1,100378
1,100415
1,100638
1,99929
1,99176
1,100298
1,99303
1,99317
1,99627
1,100293
1,101331
1,99943
1,100744
1,100492
1,99511
1,100714
1,100396
1,99777
1,99562
1,100259
1,100624
1,100045
1,99473
1,100074
1,99689
1,100347
1,99999
1,100334
1,100863
1,100637
1,99611
1,99788
1,99489
1,99494
1,99923
1,99769
1,99899
1,100661
1,99894
1,99837
1,100014
NAN,NAN
0.0521765,4997
0.054061,5078
0.0587269,5577
0.0610275,5678
0.0633513,5879
0.0661355,6151
0.0710629,6580
0.0753456,6966
0.0787425,7171
0.0854193,7777
0.092883,8453
0.100219,9093
0.110303,9875
0.123375,10781
0.138563,11984
0.158726,13640
0.183938,15574
0.215567,17783
0.26019,20957
0.321205,25036
0.409767,30576
0.544166,39131
0.723328,50604
0.907744,68571
0.990809,86239
0.99999,95675
1,99113
1,99678
1,99968
1,100187
1,100851
1,100200
1,100946
1,100798
1,99647
1,100115
1,100283
1,99859
1,99901
1,99689
1,100048
1,99933
1,99754
1,100602
1,100101
1,99791
1,100094
1,100656
1,100548
1,99964
1,100274
1,100442
1,100048
1,100300
1,100244
1,100021
1,100251
1,100873
1,99877
1,99863
1,100180
1,99753
1,99920
1,100523
1,99693
1,100152
1,100104
1,100517
1,100599
1,99771
1,99786
1,99677
1,99886
1,100647
1,99793
1,100206
1,100066
1,100230
1,99416
1,100593
1,100425
1,100297
1,99180
1,99763
1,101272
1,99799
1,100092
1,100218
1,99661
1,100058
1,100078
1,99599
1,99265
1,99363
1,100105
1,99475
1,99630
1,99935
1,99843
1,100179
NAN,NAN
0.053787,5155
0.0574516,5439
0.0592098,5618
0.0637626,5994
0.0680896,6342
0.0753877,6942
0.0808315,7439
0.0887476,8096
0.0939438,8451
0.101274,9125
0.114423,10151
0.126324,11153
0.141342,12274
0.161141,13749
0.187047,15772
0.223098,18265
0.273061,21888
0.337953,26020
0.434096,32203
0.576324,41191
0.763624,54370
0.930634,71120
0.994503,89189
0.999959,97370
1,99456
1,99766
1,99955
1,100484
1,100406
1,100324
1,100848
1,100100
1,99947
1,100360
1,99741
1,100432
1,100106
1,99998
1,100225
1,100101
1,99676
1,99899
1,100216
1,99349
1,99730
1,99286
1,99971
1,101335
1,99892
1,98876
1,99792
1,100081
1,99660
1,99552
1,99858
1,99201
1,99953
1,100146
1,100090
1,99224
1,99169
1,99731
1,100339
1,100156
1,99116
1,99656
1,100429
1,99776
1,99089
1,99815
1,100026
1,100844
1,100551
1,99405
1,99987
1,100167
1,99842
1,100074
1,100514
1,99231
1,99410
1,100444
1,100467
1,100709
1,100460
1,99518
1,100766
1,100339
1,100184
1,99579
1,99275
1,99861
1,100014
1,99712
1,99936
1,100113
1,101272
1,100475
1,99118
1,99821
NAN,NAN
0.052903,5109
0.0542605,5135
0.0574818,5413
0.0598058,5616
0.065322,6082
0.0708905,6559
0.075815,7016
0.0826067,7626
0.0888456,8122
0.096491,8783
0.105687,9521
0.115867,10287
0.129011,11321
0.145689,12699
0.164778,14120
0.191876,16156
0.226853,18643
0.274244,21888
0.34607,27008
0.448923,32955
0.598516,42676
0.786697,56558
0.945179,73309
0.996433,89683
0.99999,97476
1,99521
1,100409
1,100239
1,100533
1,99758
1,99805
1,99795
1,99763
1,99327
1,100292
1,100113
1,99879
1,100349
1,99367
1,99198
1,100353
1,99828
1,99931
1,99786
1,100648
1,99936
1,100280
1,100033
1,100278
1,101098
1,100879
1,99998
1,99826
1,100393
1,100475
1,99477
1,100619
1,100096
1,99769
1,100591
1,100582
1,99343
1,100663
1,100505
1,99424
1,99383
1,100268
1,100701
1,100152
1,100291
1,100188
1,100359
1,99605
1,99385
1,99900
1,99610
1,99912
1,100898
1,101039
1,99837
1,99982
1,99657
1,99821
1,99155
1,99921
1,100258
1,100197
1,99222
1,100961
1,100563
1,99924
1,99529
1,100328
1,100607
1,99851
1,99472
1,99536
1,100347
1,100780
1,99769
NAN,NAN
0.0531323,5121
0.0557637,5225
0.0585874,5473
0.0625074,5840
0.0680429,6358
0.0720502,6681
0.0754989,6969
0.0795443,7297
0.0864562,7957
0.0924297,8405
0.103757,9343
0.112995,10065
0.124781,10965
0.136691,11895
0.154132,13253
0.176792,15092
0.210112,17520
0.254209,20641
0.312298,24299
0.397611,29861
0.524022,37303
0.697501,49171
0.886919,65373
0.985511,83592
0.999791,95843
1,100050
1,99820
1,100005
1,100447
1,99633
1,98915
1,99536
1,100150
1,100121
1,99777
1,100253
1,99560
1,100092
1,99662
1,100347
1,98960
1,99575
1,100544
1,99898
1,100230
1,99769
1,99309
1,99164
1,99444
1,99961
1,100091
1,100420
1,100231
1,99731
1,100450
1,100616
1,99742
1,99246
1,100243
1,100311
1,99990
1,99158
1,100699
1,99838
1,99876
1,99594
1,99511
1,99347
1,99974
1,99761
1,100418
1,99889
1,100163
1,100264
1,99611
1,99796
1,100334
1,101029
1,100102
1,100309
1,99490
1,100179
1,100069
1,99721
1,99562
1,100280
1,99394
1,99848
1,100231
1,99574
1,99762
1,99505
1,100047
1,100279
1,100693
1,100771
1,99848
1,100522
1,99586
1,100588
NAN,NAN
0.0523518,5043
0.0542537,5156
0.0567793,5382
0.0606367,5703
0.0645416,6046
0.068618,6360
0.0735466,6781
0.0782515,7155
0.0847897,7724
0.0932159,8541
0.101712,9181
0.111067,9887
0.122536,10860
0.138909,12142
0.155926,13332
0.17847,15042
0.21079,17453
0.255371,20791
0.316362,24885
0.402656,30289
0.529109,38535
0.702985,49855
0.889408,65890
0.987186,84202
0.999803,96333
1,98954
1,99228
1,99853
1,98698
1,99653
1,100183
1,100024
1,100415
1,99727
1,100973
1,100368
1,100618
1,99742
1,99564
1,100495
1,100463
1,99916
1,100862
1,99313
1,100365
1,100321
1,100784
1,101013
1,100062
1,100006
1,100036
1,100504
1,100800
1,100423
1,100643
1,100591
1,100120
1,99295
1,100093
1,100245
1,100042
1,100282
1,99634
1,99737
1,99010
1,100034
1,99790
1,100897
1,100058
1,100124
1,99789
1,99402
1,100419
1,100238
1,99502
1,99424
1,100345
1,100513
1,100416
1,100341
1,100779
1,100426
1,100008
1,99881
1,100195
1,99969
1,100511
1,100338
1,100459
1,99744
1,99808
1,101085
1,99273
1,99143
1,100153
1,100716
1,100253
1,100364
1,99810
1,100262
NAN,NAN
0.05393,5148
0.0555591,5230
0.0585587,5501
0.0620956,5787
0.0655071,6086
0.0701948,6482
0.0751709,6970
0.0813816,7516
0.0869007,7925
0.0947166,8553
0.106037,9550
0.115328,10253
0.127997,11188
0.145862,12760
0.167814,14237
0.195964,16459
0.229996,18974
0.28065,22191
0.349175,26715
0.453567,33368
0.601337,42624
0.790713,56128
0.948772,73693
0.997376,90480
1,98222
1,99722
1,100213
1,100340
1,100103
1,99897
1,100205
1,99748
1,100175
1,99765
1,99816
1,99900
1,99794
1,99343
1,100263
1,99871
1,100169
1,99961
1,99559
1,99681
1,99354
1,99989
1,99102
1,100007
1,100385
1,99806
1,99984
1,99975
1,99458
1,100045
1,99006
1,99781
1,100650
1,100453
1,99719
1,99475
1,99659
1,100376
1,100476
1,100435
1,100470
1,100939
1,99793
1,100116
1,99428
1,98658
1,99497
1,99824
1,100099
1,99821
1,100147
1,100084
1,99457
1,99588
1,100485
1,100537
1,99900
1,100263
1,99615
1,100120
1,100002
1,99459
1,99626
1,99872
1,99927
1,99765
1,101114
1,100269
1,99755
1,99386
1,99981
1,100455
1,100219
1,100206
1,100142
1,100750
NAN,NAN
0.0522762,5040
0.0543892,5140
0.0543322,5073
0.057534,5430
0.0624537,5907
0.0643585,6045
0.0682764,6351
0.07205,6675
0.0777236,7147
0.0851045,7740
0.0921044,8336
0.101078,9131
0.111553,10009
0.123982,11082
0.138845,12137
0.156156,13438
0.180274,15145
0.210926,17212
0.253725,20483
0.312689,24487
0.397015,29576
0.522713,37397
0.69646,48537
0.883614,64647
0.985901,83144
0.999802,95804
1,99392
1,100142
1,100526
1,100073
1,100243
1,100638
1,100237
1,100163
1,99741
1,99944
1,99620
1,99920
