"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"zpg2X",4,0.0232,0,NA,1,63.25,0.0032049071,8.2055e-06,0.0014409284,1.9555e-06,25196.2032615,5440943.02105,NA,0,NA,0,NA,1,0.62522075,0,NA,1,0,0,0,0,0,0,0,1,4106.3197496,NA,4106.3197496,NA
"zpg2X",4,0.027,0,NA,1,57.15,0.00306642465,1.02775e-05,0.00140457745,2.921e-06,24453.861417,5764752.89265,NA,0,NA,0,NA,1,0.636977,0,NA,1,0,0,0,0,0,0,0,1,3846.08555645,NA,3846.08555645,NA
"zpg2X",4,0.0308,0,NA,1,56.95,0.00331341905,4.7047e-05,0.0016002138,1.8293e-05,23746.3411015,7851083.6487,NA,0,NA,0,NA,1,0.63646755,0,NA,1,0,0,0,0,0,0,0,1,3627.65959025,NA,3627.65959025,NA
"zpg2X",4,0.0346,0,NA,1,53.1,0.00330774415,9.4013e-05,0.0016436985,3.751095e-05,23178.9566385,8390364.70405,NA,0,NA,0,NA,1,0.64622405,0,NA,1,0,0,0,0,0,0,0,1,3472.17404565,NA,3472.17404565,NA
"zpg2X",4,0.0384,0.1,104,0.95,52.0526315789474,0.0117007993684211,0.00216191468421053,0.00585997326315789,0.000615808052631579,21911.6568261053,8287393.49878947,66,0,NA,0,NA,0.9,0.6422235,0,NA,0.9,0,0,0,0.05,0,0.05,0,0.9,3372.70299020349,2828.868687,3373.33044744444,2828.868687
"zpg2X",4,0.0422,0.05,108,1,54.85,0.01859665745,0.0003870091,0.0118532641,5.81849e-05,21339.348491315,9170697.849838,NA,0,NA,0,NA,0.95,0.651832421052632,0,NA,0.95,0,0,0.05,0,0,0,0,0.95,3250.74827463158,NA,3250.74827463158,NA
"zpg2X",4,0.046,0,NA,1,50.85,0.00260717085,4.6498e-05,0.0013237724,1.9594e-05,22292.0745925,8954797.43055,NA,0,NA,0,NA,1,0.648175,0,NA,1,0,0,0,0,0,0,0,1,3203.99590045,NA,3203.99590045,NA
"zpg2X",5,0.008,0,NA,1,76.35,0.0016165278,4.257e-07,0.00054448385,2.551e-08,34472.9312985,1535350.5162,NA,0,NA,0,NA,1,0.4875485,0,NA,1,0,0,0,0,0,0,0,1,8860.4306217,NA,8860.4306217,NA
"zpg2X",5,0.0118,0,NA,1,66.75,0.0021531469,1.23275e-06,0.0007439522,1.02835e-07,32858.490337,2216005.35655,NA,0,NA,0,NA,1,0.56695935,0,NA,1,0,0,0,0,0,0,0,1,6659.88793315,NA,6659.88793315,NA
"zpg2X",5,0.0156,0,NA,1,71.9,0.00229272195,1.982e-06,0.00082477795,2.626e-07,31602.240016,3208073.6651,NA,0,NA,0,NA,1,0.60139305,0,NA,1,0,0,0,0,0,0,0,1,5598.7117187,NA,5598.7117187,NA
"zpg2X",5,0.0194,0,NA,1,65.5,0.00231061165,3.076e-06,0.00084905415,5.6655e-07,30720.7125465,3875380.77135,NA,0,NA,0,NA,1,0.6189633,0,NA,1,0,0,0,0,0,0,0,1,5041.9296308,NA,5041.9296308,NA
"zpg2X",5,0.0232,0,NA,1,60.1,0.00229361865,4.889e-06,0.00085209445,9.2145e-07,30042.2201005,4941897.9092,NA,0,NA,0,NA,1,0.6376985,0,NA,1,0,0,0,0,0,0,0,1,4696.24176575,NA,4696.24176575,NA
"zpg2X",5,0.027,0,NA,1,57.4,0.0022279574,8.6075e-06,0.0008389213,1.85865e-06,29519.220569,6018541.92455,NA,0,NA,0,NA,1,0.6414123,0,NA,1,0,0,0,0,0,0,0,1,4453.42569205,NA,4453.42569205,NA
"zpg2X",5,0.0308,0,NA,1,56.65,0.0021899497,1.93908e-05,0.00086098335,7.03185e-06,29181.756312,7275504.14415,NA,0,NA,0,NA,1,0.65070155,0,NA,1,0,0,0,0,0,0,0,1,4296.2207685,NA,4296.2207685,NA
"zpg2X",5,0.0346,0,NA,1,50.95,0.0020190934,1.53215e-05,0.0007776576,3.78285e-06,28948.9717135,8078231.83845,NA,0,NA,0,NA,1,0.6510131,0,NA,1,0,0,0,0,0,0,0,1,4199.7016876,NA,4199.7016876,NA
"zpg2X",5,0.0384,0,NA,1,52.85,0.0019615516,2.39076e-05,0.00079643535,8.15575e-06,28736.017025,9088860.852,NA,0,NA,0,NA,1,0.64841025,0,NA,1,0,0,0,0,0,0,0,1,4101.44410755,NA,4101.44410755,NA
"zpg2X",5,0.0422,0,NA,1,49.1,0.0019345578,4.629795e-05,0.0008390364,1.95051e-05,28610.507291,10071565.7378,NA,0,NA,0,NA,1,0.65747645,0,NA,1,0,0,0,0,0,0,0,1,4052.2761994,NA,4052.2761994,NA
"zpg2X",5,0.046,0.05,121,1,43.45,0.00461559375,0.0001567887,0.00200696305,3.5416e-05,27283.35763565,11475314.00715,71,0,NA,0,NA,0.95,0.653466105263158,0,NA,0.95,0,0,0,0.05,0,0,0,0.95,3982.44703608426,3251.13,3983.30695310526,3251.13
"zpg2X",6,0.008,0,NA,1,69.5,0.001493786,4.558e-07,0.00045182335,2.0515e-08,36139.3945165,1476513.13424,NA,0,NA,0,NA,1,0.50112965,0,NA,1,0,0,0,0,0,0,0,1,9014.205457,NA,9014.205457,NA
"zpg2X",6,0.0118,0,NA,1,65.3,0.00189223015,1.1958e-06,0.00057892585,7.305e-08,35198.4237745,2003416.56685,NA,0,NA,0,NA,1,0.57905605,0,NA,1,0,0,0,0,0,0,0,1,6904.3962744,NA,6904.3962744,NA
"zpg2X",6,0.0156,0,NA,1,69.2,0.00195156005,1.59285e-06,0.0006107785,1.81605e-07,34411.644813,2995338.41095,NA,0,NA,0,NA,1,0.60986925,0,NA,1,0,0,0,0,0,0,0,1,5909.82760665,NA,5909.82760665,NA
"zpg2X",6,0.0194,0,NA,1,64.6,0.0019548421,2.395e-06,0.0006173424,3.5005e-07,33805.5626755,3935363.40615,NA,0,NA,0,NA,1,0.6330153,0,NA,1,0,0,0,0,0,0,0,1,5388.2649619,NA,5388.2649619,NA
"zpg2X",6,0.0232,0,NA,1,59.45,0.00189011615,3.996e-06,0.0005962674,6.348e-07,33434.186313,5014722.17595,NA,0,NA,0,NA,1,0.64309305,0,NA,1,0,0,0,0,0,0,0,1,5095.3841819,NA,5095.3841819,NA
"zpg2X",6,0.027,0,NA,1,57.15,0.00180676005,6.176e-06,0.00058251585,1.264e-06,33181.318228,6472851.47905,NA,0,NA,0,NA,1,0.65075975,0,NA,1,0,0,0,0,0,0,0,1,4899.96132705,NA,4899.96132705,NA
"zpg2X",6,0.0308,0,NA,1,54.55,0.0017226419,1.08115e-05,0.0005714369,2.86995e-06,32989.1165575,7787148.98515,NA,0,NA,0,NA,1,0.65205285,0,NA,1,0,0,0,0,0,0,0,1,4769.3746699,NA,4769.3746699,NA
"zpg2X",6,0.0346,0,NA,1,54.6,0.00160602925,1.3503e-05,0.0005426513,3.7268e-06,32857.6569075,8560203.0911,NA,0,NA,0,NA,1,0.64921195,0,NA,1,0,0,0,0,0,0,0,1,4667.0751725,NA,4667.0751725,NA
"zpg2X",6,0.0384,0,NA,1,51.9,0.00148320505,1.3449e-05,0.0005141375,4.2872e-06,32777.270803,9148056.59805,NA,0,NA,0,NA,1,0.6555946,0,NA,1,0,0,0,0,0,0,0,1,4611.6339625,NA,4611.6339625,NA
"zpg2X",6,0.0422,0,NA,1,50.05,0.00139788175,1.78305e-05,0.00049181025,5.228e-06,32659.8222775,9387311.57135,NA,0,NA,0,NA,1,0.66002585,0,NA,1,0,0,0,0,0,0,0,1,4542.6634735,NA,4542.6634735,NA
"zpg2X",6,0.046,0.05,78,0.95,49.4210526315789,0.00560432878947368,0.000262007473684211,0.00284528026315789,0.000117368210526316,31099.4007859474,12911601.8916842,NA,0.05,90,0,NA,0.9,0.657565555555556,0,NA,0.9,0.05,0,0,0,0.05,0.05,0,0.9,4465.85673881042,4537.411765,4465.79669683333,NA
"zpg2X",7,0.008,0,NA,1,78.05,0.0013897051,4.2195e-07,0.0003872284,1.582e-08,37429.319304,1185606.68249,NA,0,NA,0,NA,1,0.50697055,0,NA,1,0,0,0,0,0,0,0,1,9105.39747505,NA,9105.39747505,NA
"zpg2X",7,0.0118,0,NA,1,71.05,0.0017066114,9.7325e-07,0.00047343705,5.5825e-08,36964.3516555,1813023.8589,NA,0,NA,0,NA,1,0.58187605,0,NA,1,0,0,0,0,0,0,0,1,7057.4938524,NA,7057.4938524,NA
