Number,Migration,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
3,0.01,18,0.437799,19,0.533333,18.65108757,64,0.344828,65,0.508197,64.94982524,46,46.29873767
4,0.01,17,0.432018,18,0.525799,17.72490163,66,0.428184,67,0.583587,66.4621275,49,48.73722587
5,0.01,15,0.469697,16,0.579088,15.27701548,62,0.477966,63,0.590214,62.19629748,47,46.91928201
6,0.01,18,0.419948,19,0.564841,18.55249046,56,0.463654,57,0.544643,56.44877699,38,37.89628654
7,0.01,17,0.444079,18,0.577982,17.4176232,66,0.411141,67,0.550351,66.63830903,49,49.22068582
8,0.01,17,0.498901,18,0.538667,17.02763667,58,0.466165,59,0.519663,58.63245355,41,41.60481688
9,0.01,16,0.471074,17,0.558904,16.32934077,64,0.464115,65,0.579755,64.3103165,48,47.98097573
10,0.01,16,0.451613,17,0.642336,16.25370301,64,0.460568,65,0.613466,64.25789742,48,48.00419441
11,0.01,17,0.480769,18,0.618768,17.13935608,59,0.463942,60,0.517028,59.67923746,42,42.53988138
12,0.01,14,0.490515,15,0.503125,14.75218081,66,0.469474,67,0.628726,66.19168362,52,51.43950281
13,0.01,16,0.481567,17,0.543716,16.29659367,62,0.447514,63,0.553134,62.4969324,46,46.20033873
14,0.01,15,0.373333,16,0.534884,15.78406819,62,0.485646,63,0.545198,62.24103305,47,46.45696486
15,0.01,19,0.462725,20,0.556675,19.39675359,65,0.456967,66,0.503817,65.91852721,46,46.52177362
16,0.01,17,0.447837,18,0.507599,17.87284562,63,0.401848,64,0.606771,63.47897015,46,45.60612453
17,0.01,21,0.47185,22,0.581864,21.25587652,68,0.454545,69,0.53125,68.59259501,47,47.33671848
18,0.01,18,0.46875,19,0.536458,18.46154073,70,0.487113,71,0.532982,70.28095228,52,51.81941154
19,0.01,16,0.427778,17,0.543807,16.62244784,62,0.49734,63,0.569892,62.03666336,46,45.41421552
0,0.01,15,0.408989,16,0.539267,15.69859071,57,0.40625,58,0.511166,57.893572,42,42.19498129
1,0.01,17,0.451531,18,0.503836,17.92666093,66,0.39951,67,0.533499,66.74998694,49,48.82332601
2,0.01,17,0.494083,18,0.578755,17.06988142,65,0.429467,66,0.525862,65.73170808,48,48.66182665
3,0.01,16,0.468421,17,0.565341,16.32582542,67,0.464286,68,0.639437,67.20390406,51,50.87807864
4,0.01,18,0.464497,19,0.532258,18.52394445,65,0.428916,66,0.548295,65.59544811,47,47.07150366
5,0.01,15,0.367953,16,0.524038,15.84599417,61,0.470024,62,0.614583,61.2073617,46,45.36136753
6,0.01,17,0.351942,18,0.511468,17.92811203,63,0.436693,64,0.585586,63.42518453,46,45.4970725
7,0.01,16,0.47412,17,0.586902,16.22946924,54,0.450593,55,0.513953,54.7797822,38,38.55031296
8,0.01,15,0.368056,16,0.535433,15.78830425,65,0.452442,66,0.534483,65.57968577,50,49.79138152
9,0.01,19,0.458564,20,0.636816,19.23245742,62,0.487923,63,0.587079,62.12179797,43,42.88934056
10,0.01,17,0.438073,18,0.600551,17.38114083,62,0.489933,63,0.618919,62.07804723,45,44.6969064
11,0.01,19,0.417085,20,0.61,19.42980069,66,0.484746,67,0.608392,66.12336833,47,46.69356764
12,0.01,18,0.485849,19,0.567633,18.17302895,66,0.44921,67,0.580488,66.38688889,48,48.21385994
13,0.01,18,0.395664,19,0.532051,18.7649996,59,0.32809,60,0.526767,59.86527379,41,41.10027419
14,0.01,17,0.454006,18,0.527881,17.62259222,60,0.456938,61,0.5,61,43,43.37740778
15,0.01,16,0.497238,17,0.601156,16.02657865,58,0.418182,59,0.549223,58.62436947,42,42.59779082
16,0.01,16,0.484765,17,0.665803,16.0841536,61,0.447552,62,0.646119,61.26413251,45,45.17997891
17,0.01,16,0.48566,17,0.598465,16.12712202,58,0.463178,59,0.517084,58.68307795,42,42.55595593
18,0.01,15,0.492823,16,0.579775,15.08253979,62,0.498765,63,0.561358,62.01973064,47,46.93719085
19,0.01,19,0.376694,20,0.503529,19.97217645,59,0.498824,60,0.588652,59.01309169,40,39.04091524
0,0.01,17,0.473418,18,0.547904,17.35687243,59,0.367246,60,0.50289,59.97869423,42,42.6218218
1,0.01,16,0.484919,17,0.575,16.16741599,62,0.471795,63,0.547059,62.37474756,46,46.20733156
2,0.01,18,0.418079,19,0.5,19,66,0.485849,67,0.586705,66.14030896,48,47.14030896
3,0.01,15,0.412429,16,0.573134,15.54491771,60,0.399142,61,0.522892,60.81501414,45,45.27009644
4,0.01,15,0.435146,16,0.542857,15.6021112,62,0.431694,63,0.518414,62.78766144,47,47.18555023
