Number,MIGRATION,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
73,0.01,44,0.436404,45,0.50977,44.86683205,154,0.484766,155,0.520256,154.4292477,110,109.5624156
74,0.01,44,0.490948,45,0.542148,44.17679688,163,0.482911,164,0.509434,163.6443087,119,119.4675118
75,0.01,44,0.47232,45,0.514156,44.66163113,154,0.475,155,0.532423,154.4353656,110,109.7737345
76,0.01,41,0.489119,42,0.529042,41.27254966,159,0.445664,160,0.512367,159.814596,118,118.5420464
77,0.01,39,0.47554,40,0.505319,39.8213842,156,0.485374,157,0.55818,156.20089,117,116.3795058
78,0.01,42,0.476562,43,0.511759,42.66590903,154,0.498848,155,0.507058,154.1403167,112,111.4744077
79,0.01,41,0.473542,42,0.522349,41.54209437,155,0.496725,156,0.539594,155.0763955,114,113.5343012
80,0.01,40,0.463141,41,0.508734,40.80843551,158,0.466809,159,0.534276,158.491959,118,117.6835235
81,0.01,44,0.472838,45,0.512665,44.68199965,160,0.462486,161,0.505641,160.8692851,116,116.1872855
82,0.01,46,0.436887,47,0.502874,46.95644597,155,0.461991,156,0.513333,155.7403101,109,108.7838641
83,0.01,42,0.471084,43,0.528815,42.50087475,156,0.497368,157,0.544363,156.056006,114,113.5551312
84,0.01,44,0.483261,45,0.543628,44.27728726,159,0.486364,160,0.523889,159.3633844,115,115.0860972
85,0.01,38,0.442977,39,0.502043,38.96541157,149,0.497346,150,0.539956,149.0622858,111,110.0968743
86,0.01,39,0.453808,40,0.557342,39.44615295,148,0.476744,149,0.539683,148.3695006,109,108.9233477
87,0.01,38,0.487854,39,0.550661,38.19338609,144,0.496124,145,0.533595,144.10344,106,105.9100539
88,0.01,45,0.479615,46,0.53024,45.40266667,163,0.487108,164,0.51139,163.5309283,118,118.1282616
89,0.01,40,0.455407,41,0.53233,40.57970958,151,0.472163,152,0.516183,151.6323716,111,111.0526621
90,0.01,47,0.482739,48,0.546856,47.26921097,164,0.477841,165,0.514908,164.5978094,117,117.3285984
91,0.01,41,0.458097,42,0.507886,41.8416116,150,0.481303,151,0.515969,150.5393469,109,108.6977353
92,0.01,46,0.484848,47,0.578775,46.16131677,153,0.455543,154,0.50519,153.895462,107,107.7341452
93,0.01,40,0.47293,41,0.505143,40.84034396,159,0.481064,160,0.502107,159.8998717,119,119.0595277
94,0.01,42,0.462796,43,0.526816,42.5811309,158,0.486443,159,0.51145,158.5421282,116,115.9609973
95,0.01,45,0.47006,46,0.515815,45.65435472,158,0.453063,159,0.503696,158.9270041,113,113.2726494
96,0.01,40,0.435644,41,0.503486,40.9486159,146,0.471898,147,0.509465,146.7480502,106,105.7994342
97,0.01,42,0.489085,43,0.508901,42.55081752,166,0.46961,167,0.511986,166.7171512,124,124.1663337
98,0.01,46,0.49747,47,0.521053,46.10728067,159,0.482759,160,0.524252,159.4155159,113,113.3082352
99,0.01,43,0.486602,44,0.525488,43.34454559,161,0.463087,162,0.506303,161.8541512,118,118.5096056
100,0.01,42,0.491121,43,0.558612,42.13155828,152,0.483801,153,0.507345,152.6880309,110,110.5564726
101,0.01,42,0.467098,43,0.505006,42.86794344,166,0.484568,167,0.503264,166.8254172,124,123.9574738
102,0.01,44,0.484901,45,0.536504,44.29259927,159,0.47926,160,0.532275,159.39121,115,115.0986108
103,0.01,41,0.465213,42,0.534389,41.50287672,153,0.472943,154,0.51036,153.7231205,112,112.2202438
104,0.01,43,0.459695,44,0.527749,43.59225027,158,0.454292,159,0.519412,158.7019042,115,115.1096539
105,0.01,44,0.485714,45,0.520675,44.40862676,155,0.450855,156,0.50993,155.8319086,111,111.4232818
106,0.01,45,0.474232,46,0.515289,45.62761527,151,0.473502,152,0.525522,151.509381,106,105.8817657
107,0.01,41,0.446978,42,0.510013,41.84115174,162,0.491409,163,0.510563,162.4485225,121,120.6073708
108,0.01,46,0.450898,47,0.546369,46.51431325,158,0.481884,159,0.512743,158.5870573,112,112.072744
109,0.01,42,0.448332,43,0.510428,42.83206648,156,0.480042,157,0.52935,156.4047619,114,113.5726954
110,0.01,38,0.480577,39,0.538339,38.33625913,148,0.480296,149,0.535211,148.3588091,110,110.0225499
111,0.01,40,0.493333,41,0.578209,40.07854988,156,0.486705,157,0.528587,156.3174395,116,116.2388896
112,0.01,43,0.478284,44,0.539216,43.3563973,159,0.456878,160,0.509585,159.8181456,116,116.4617483
113,0.01,42,0.495495,43,0.531823,42.12400903,157,0.454237,158,0.510846,157.808405,115,115.684396
114,0.01,42,0.456472,43,0.512285,42.77988999,158,0.463106,159,0.522503,158.6211425,116,115.8412525
115,0.01,46,0.493949,47,0.535944,46.14408858,164,0.449536,165,0.501792,164.9657073,118,118.8216187
116,0.01,45,0.498384,46,0.529101,45.0526093,162,0.4644,163,0.545935,162.4366223,117,117.384013
117,0.01,45,0.463785,46,0.51979,45.64663869,159,0.456522,160,0.540243,159.5193201,114,113.8726814
118,0.01,40,0.461581,41,0.528921,40.57052272,156,0.442327,157,0.512881,156.8174306,116,116.2469079
119,0.01,38,0.486675,39,0.584066,38.13681962,150,0.48714,151,0.541761,150.2354406,112,112.098621
120,0.01,46,0.450948,47,0.510277,46.82677948,164,0.463308,165,0.526124,164.5841187,118,117.7573392
121,0.01,49,0.488558,50,0.524526,49.3181161,158,0.484127,159,0.544801,158.2616112,109,108.9434951
122,0.01,45,0.467539,46,0.520964,45.60759944,163,0.479614,164,0.514486,163.5845951,118,117.9769957
123,0.01,42,0.476531,43,0.518558,42.55842673,160,0.493916,161,0.530658,160.1655871,118,117.6071603
124,0.01,42,0.496503,43,0.543454,42.07448191,155,0.475383,156,0.526674,155.4799477,113,113.4054658
125,0.01,47,0.498853,48,0.514558,47.07303407,157,0.475653,158,0.514118,157.632965,110,110.559931
126,0.01,46,0.491982,47,0.509445,46.45914219,164,0.496192,165,0.557589,164.0620226,118,117.6028804
127,0.01,40,0.489479,41,0.579137,40.11734591,156,0.477398,157,0.508899,156.717501,116,116.6001551
128,0.01,44,0.494829,45,0.561305,44.07778747,154,0.44163,155,0.504499,154.9284385,110,110.850651
129,0.01,41,0.437227,42,0.502747,41.95807387,150,0.483127,151,0.511641,150.5917444,109,108.6336705
130,0.01,45,0.471904,46,0.506857,45.80382228,155,0.462137,156,0.50059,155.9846566,110,110.1808343
131,0.01,50,0.488701,51,0.512042,50.4840838,167,0.49884,168,0.555556,167.0204528,117,116.536369
132,0.01,43,0.467911,44,0.52093,43.60523586,152,0.454698,153,0.512645,152.7817834,109,109.1765475
133,0.01,44,0.450758,45,0.511416,44.81179729,156,0.484004,157,0.515115,156.514159,112,111.7023617
134,0.01,46,0.486472,47,0.501564,46.89636894,169,0.487527,170,0.553787,169.1882433,123,122.2918743
135,0.01,38,0.455215,39,0.532189,38.58181984,149,0.468617,150,0.518785,149.6255581,111,111.0437383
136,0.01,39,0.486772,40,0.541002,39.24392403,158,0.479459,159,0.523575,158.4656134,119,119.2216894
137,0.01,47,0.475463,48,0.542553,47.3657326,161,0.455919,162,0.553744,161.4506108,114,114.0848782
138,0.01,40,0.486925,41,0.536403,40.26425886,149,0.451671,150,0.513843,149.7773435,109,109.5130846
139,0.01,43,0.466817,44,0.527011,43.55126757,159,0.498862,160,0.560818,159.0183679,116,115.4671003
140,0.01,44,0.434226,45,0.516802,44.79652684,161,0.45615,162,0.521311,161.6729485,117,116.8764217
141,0.01,42,0.465352,43,0.5252,42.5789333,158,0.446347,159,0.5,159,116,116.4210667
142,0.01,39,0.499439,40,0.555982,39.00992165,150,0.475537,151,0.528177,150.4647226,111,111.454801
143,0.01,46,0.463606,47,0.517442,46.67601605,164,0.485149,165,0.545359,164.2466534,118,117.5706373
144,0.01,39,0.491667,40,0.510651,39.43894859,161,0.492786,162,0.509217,161.4390481,122,122.0000996
145,0.01,42,0.481602,43,0.510711,42.6320382,152,0.445183,153,0.518239,152.7503422,110,110.118304
146,0.01,43,0.483945,44,0.51255,43.56126551,163,0.459631,164,0.527102,163.5983163,120,120.0370508
147,0.01,41,0.48396,42,0.56631,41.19477838,159,0.495011,160,0.564242,159.0720631,118,117.8772847
148,0.01,40,0.498006,41,0.536424,40.05190275,160,0.455293,161,0.508502,160.840215,120,120.7883122
149,0.01,41,0.447872,42,0.503052,41.94469011,155,0.474099,156,0.538855,155.3999784,114,113.4552883
150,0.01,43,0.471655,44,0.501659,43.94470737,161,0.419451,162,0.503405,161.9594421,118,118.0147347
151,0.01,44,0.492881,45,0.540025,44.15100543,153,0.462617,154,0.537996,153.4959339,109,109.3449285
