Number,MIGRATION,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
171,0.04,5,0.844515,6,0.769634,5.594476569,20,0.809665,21,0.728729,20.11941534,15,14.52493877
172,0.04,5,0.863821,6,0.773931,5.709989988,21,0.843813,22,0.771484,21.60574597,16,15.89575598
173,0.04,6,0.801463,7,0.722282,6.018476655,21,0.832492,22,0.706652,21.25820089,15,15.23972424
174,0.04,6,0.801058,7,0.691209,6.009631403,20,0.867888,21,0.753608,20.5940497,14,14.5844183
175,0.04,6,0.808623,7,0.72262,6.100263944,20,0.853683,21,0.783298,20.76270512,14,14.66244118
176,0.04,5,0.871002,6,0.792784,5.90774502,20,0.821616,21,0.732535,20.24265556,15,14.33491054
177,0.04,5,0.844064,6,0.76561,5.561653963,20,0.839482,21,0.718173,20.32546637,15,14.76381241
178,0.04,5,0.835233,6,0.751317,5.419860337,21,0.838298,22,0.774067,21.59625415,16,16.17639381
179,0.04,6,0.812984,7,0.710953,6.127255442,18,0.834156,19,0.742258,18.37167294,12,12.2444175
180,0.04,5,0.870804,6,0.774691,5.736674539,19,0.838933,20,0.755187,19.46489385,14,13.72821931
181,0.04,5,0.822614,6,0.721212,5.223013353,18,0.854913,19,0.768694,18.63690138,13,13.41388803
182,0.04,5,0.850886,6,0.761033,5.566324997,20,0.82091,21,0.714712,20.19689636,15,14.63057137
183,0.04,6,0.813757,7,0.736501,6.178070312,20,0.88,21,0.790202,20.89088844,14,14.71281813
184,0.04,5,0.869254,6,0.767557,5.680983707,19,0.802105,20,0.704082,19.02147455,14,13.34049085
185,0.04,5,0.861027,6,0.79021,5.861756358,20,0.804671,21,0.709302,20.04897818,15,14.18722182
186,0.04,5,0.865344,6,0.785641,5.81984367,20,0.833164,21,0.759481,20.45009025,15,14.63024658
187,0.04,5,0.865209,6,0.779324,5.759259475,20,0.882239,21,0.78635,20.85764791,15,15.09838843
188,0.04,5,0.803901,6,0.72428,5.048994612,18,0.857,19,0.783105,18.77136477,13,13.72237016
189,0.04,5,0.847941,6,0.769305,5.609657154,20,0.820537,21,0.720515,20.20532483,15,14.59566767
190,0.04,6,0.80418,7,0.690329,6.036714653,20,0.835938,21,0.756504,20.45242591,14,14.41571126
