Number,MIGRATION,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
127,0.035,5,0.806519,6,0.706956,5.065476131,25,0.835414,26,0.778142,25.61834753,20,20.5528714
128,0.035,6,0.831448,7,0.747948,6.376622754,25,0.810865,26,0.695562,25.09422999,19,18.71760723
129,0.035,6,0.836084,7,0.789183,6.769365259,27,0.85641,28,0.797694,27.96072621,21,21.19136095
130,0.035,6,0.800598,7,0.714953,6.006982311,26,0.813268,27,0.773585,26.33434972,20,20.32736741
131,0.035,6,0.849946,7,0.782147,6.736677532,25,0.850587,26,0.753112,25.5189741,19,18.78229656
132,0.035,6,0.852285,7,0.748718,6.504842276,25,0.813542,26,0.761339,25.25941038,19,18.7545681
133,0.035,5,0.81087,6,0.709744,5.107489666,23,0.803097,24,0.745645,23.05390587,18,17.9464162
134,0.035,7,0.804752,8,0.736737,7.069866941,24,0.829026,25,0.741935,24.33328358,17,17.26341664
135,0.035,6,0.825787,7,0.75632,6.37121223,26,0.833504,27,0.788981,26.75250994,20,20.38129771
136,0.035,5,0.835187,6,0.769231,5.533492025,26,0.845829,27,0.789934,26.81991234,21,21.28642031
137,0.035,6,0.812709,7,0.723586,6.142600675,25,0.805643,26,0.728051,25.07272657,19,18.93012589
138,0.035,6,0.831736,7,0.748223,6.380012693,27,0.830087,28,0.773057,27.52756444,21,21.14755175
139,0.035,5,0.823045,6,0.782135,5.563309704,26,0.850622,27,0.788403,26.81360999,21,21.25030029
140,0.035,6,0.835294,7,0.728155,6.329422526,25,0.843137,26,0.786359,25.75974849,19,19.43032597
141,0.035,6,0.80023,7,0.726681,6.003127167,26,0.831207,27,0.742563,26.35204864,20,20.34892148
142,0.035,5,0.843035,6,0.768898,5.580479383,26,0.814378,27,0.694656,26.12009489,21,20.5396155
143,0.035,6,0.827624,7,0.740779,6.318083943,25,0.82438,26,0.742762,25.29870862,19,18.98062468
144,0.035,5,0.863041,6,0.788902,5.850308205,24,0.835198,25,0.77951,24.63205718,19,18.78174897
145,0.035,5,0.840816,6,0.759585,5.50246827,24,0.813977,25,0.743941,24.19956879,19,18.69710052
146,0.035,5,0.840841,6,0.766816,5.551719014,25,0.816176,26,0.735632,25.20083433,20,19.64911531
147,0.035,6,0.8,7,0.723568,6,27,0.851889,28,0.792141,27.86846422,21,21.86846422
148,0.035,6,0.828935,7,0.776519,6.552026099,28,0.838883,29,0.758014,28.48081465,22,21.92878855
149,0.035,6,0.819491,7,0.738512,6.240692031,25,0.863495,26,0.791579,25.88290506,19,19.64221302
150,0.035,7,0.823718,8,0.77713,7.509101056,25,0.826944,26,0.768499,25.46101463,18,17.95191357
151,0.035,6,0.82988,7,0.739754,6.33153585,24,0.811203,25,0.743158,24.16464105,18,17.8331052
152,0.035,5,0.857773,6,0.737723,5.48124115,21,0.832421,22,0.781883,21.64151727,16,16.16027612
153,0.035,5,0.830134,6,0.75054,5.378596377,26,0.812698,27,0.748908,26.19905941,21,20.82046304
154,0.035,5,0.819656,6,0.745375,5.264616793,26,0.825397,27,0.764644,26.41803697,21,21.15342018
155,0.035,5,0.864442,6,0.768443,5.671277826,24,0.81405,25,0.749455,24.2175091,19,18.54623127
