Number,GROWTH,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Actual_Timed_Gens
6,5.5,10,0,11,1020,10.98039216,14,968,15,1020,14.61538462,3.634992459
6,5.5,10,0,11,1047,10.95510984,16,992,17,1018,16.30769231,5.35258247
6,5.5,8,0,9,1039,8.962463908,16,969,17,1081,16.27678571,7.314321807
6,5.5,11,0,12,1049,11.95328885,16,968,17,1017,16.65306122,4.699772378
6,5.5,9,0,10,1056,9.946969697,18,988,19,1015,18.44444444,8.497474747
6,5.5,10,0,11,1022,10.97847358,14,860,15,1050,14.73684211,3.758368524
6,5.5,7,0,8,1033,7.968054211,14,946,15,1031,14.63529412,6.667239907
6,5.5,8,0,9,1006,8.994035785,16,964,17,1005,16.87804878,7.884012995
6,5.5,13,0,14,1071,13.93370682,17,957,18,1013,17.76785714,3.834150327
6,5.5,9,0,10,1020,9.980392157,16,911,17,1034,16.72357724,6.743185079
6,5.5,13,0,14,1008,13.99206349,17,969,18,1075,17.29245283,3.300389338
6,5.5,10,0,11,1009,10.99108028,20,994,21,1002,20.75,9.758919722
6,5.5,8,0,9,1047,8.955109838,15,909,16,1004,15.95789474,7.002784899
6,5.5,7,0,8,1018,7.982318271,15,921,16,1033,15.70535714,7.723038872
6,5.5,8,0,9,1015,8.985221675,16,953,17,1013,16.78333333,7.798111658
6,5.5,8,0,9,1022,8.978473581,15,969,16,1008,15.79487179,6.816398214
6,5.5,11,0,12,1037,11.96432015,16,966,17,1040,16.45945946,4.495139305
6,5.5,7,0,8,1028,7.972762646,17,966,18,1046,17.425,9.452237354
7,5.5,8,0,9,1009,8.991080278,20,1000,21,1067,20,11.00891972
7,5.5,12,0,13,1074,12.9310987,15,948,16,1018,15.74285714,2.811758446
7,5.5,8,0,9,1049,8.953288847,15,970,16,1009,15.76923077,6.815941923
7,5.5,8,0,9,1021,8.979431929,15,959,16,1025,15.62121212,6.641780192
7,5.5,7,0,8,1007,7.993048659,15,902,16,1046,15.68055556,7.687506896
7,5.5,8,0,9,1042,8.959692898,15,963,16,1022,15.62711864,6.667425746
7,5.5,6,0,7,1015,6.985221675,15,946,16,1038,15.58695652,8.601734847
7,5.5,10,0,11,1005,10.99502488,16,951,17,1056,16.46666667,5.471641791
7,5.5,8,0,9,1032,8.968992248,17,956,18,1046,17.48888889,8.519896641
7,5.5,10,0,11,1007,10.99304866,16,915,17,1025,16.77272727,5.779678613
7,5.5,6,0,7,1110,6.900900901,17,991,18,1008,17.52941176,10.62851086
7,5.5,8,0,9,1023,8.977517107,15,940,16,1018,15.76923077,6.791713663
7,5.5,8,0,9,1044,8.957854406,15,898,16,1028,15.78461538,6.826760978
7,5.5,7,0,8,1025,7.975609756,15,990,16,1033,15.23255814,7.256948383
